"area","source_id","name","set_name","item_type","original_level","coin_price","premium_price","discounted_premium_price","experience","valid_seconds","hidden","integration_policy"
"farm","64","豪华狗窝","仙踪林套装","4","0","7688","18","15","55","2592000","true","excluded-hidden"
"farm","65","水果熟啦背景","入秋套装","1","0","23088","55","44","165","2592000","true","excluded-hidden"
"farm","66","动漫小屋","入秋套装","2","0","15999","38","30","114","2592000","true","excluded-hidden"
"farm","67","铅笔栅栏","入秋套装","3","0","9588","23","18","69","2592000","true","excluded-hidden"
"farm","68","可爱狗窝","入秋套装","4","0","7688","18","15","55","2592000","true","excluded-hidden"
"farm","69","荷塘夜色背景","水墨荷塘套装","1","0","23088","55","44","165","2592000","false","deferred-cosmetic"
"farm","70","两楼小屋","水墨荷塘套装","2","0","15999","38","30","114","2592000","false","deferred-cosmetic"
"farm","71","石柱栅栏","水墨荷塘套装","3","0","9588","23","18","69","2592000","false","deferred-cosmetic"
"farm","72","复古狗窝","水墨荷塘套装","4","0","7688","18","15","55","2592000","false","deferred-cosmetic"
"farm","73","月光狂想背景","月光狂想背景","1","0","25888","57","46","199","2592000","false","deferred-cosmetic"
"farm","74","精灵小屋","精灵小屋","2","0","17999","40","32","138","2592000","false","deferred-cosmetic"
"farm","75","月下连桩","月下连桩","3","0","10888","24","19","83","2592000","false","deferred-cosmetic"
"farm","76","光影狗窝","光影狗窝","4","0","8599","19","15","66","2592000","false","deferred-cosmetic"
"farm","77","操场背景","回归学校套装","1","0","23088","55","44","165","2592000","true","excluded-hidden"
"farm","78","教学大楼","回归学校套装","2","0","15999","38","30","114","2592000","true","excluded-hidden"
"farm","79","树木栅栏","回归学校套装","3","0","9588","23","18","69","2592000","true","excluded-hidden"
"farm","80","平顶狗窝","回归学校套装","4","0","7688","18","15","55","2592000","true","excluded-hidden"
"farm","81","大自然背景","熊猫套装","1","0","23088","55","44","165","2592000","true","excluded-hidden"
"farm","82","树制小屋","熊猫套装","2","0","15999","38","30","114","2592000","true","excluded-hidden"
"farm","83","木制栅栏","熊猫套装","3","0","9588","23","18","69","2592000","true","excluded-hidden"
"farm","84","树桩狗窝","熊猫套装","4","0","7688","18","15","55","2592000","true","excluded-hidden"
"farm","85","甜心广场背景","甜心农场套装","1","0","23088","55","44","165","2592000","false","deferred-cosmetic"
"farm","86","糖果小屋","甜心农场套装","2","0","15999","38","30","114","2592000","false","deferred-cosmetic"
"farm","87","棒棒糖栅栏","甜心农场套装","3","0","9588","23","18","69","2592000","false","deferred-cosmetic"
"farm","88","甜点狗窝","甜心农场套装","4","0","7688","18","15","55","2592000","false","deferred-cosmetic"
"farm","89","鹊桥相间背景","浪漫七夕套装","1","0","23000","55","44","165","2592000","true","excluded-hidden"
"farm","90","望月楼","浪漫七夕套装","2","0","16825","38","30","114","2592000","true","excluded-hidden"
"farm","91","矮围墙","浪漫七夕套装","3","0","9568","23","18","69","2592000","true","excluded-hidden"
"farm","92","狗亭","浪漫七夕套装","4","0","7806","18","15","55","2592000","true","excluded-hidden"
"farm","93","厮守终生背景","相爱永远套装","1","0","23000","55","44","165","2592000","true","excluded-hidden"
"farm","94","浪漫满屋","相爱永远套装","2","0","17499","38","30","114","2592000","true","excluded-hidden"
"farm","95","浪漫栅栏","相爱永远套装","3","0","9256","23","18","69","2592000","true","excluded-hidden"
"farm","96","粉色狗窝","相爱永远套装","4","0","6888","18","15","55","2592000","true","excluded-hidden"
"farm","97","狮子座背景","梦幻星空套装","1","0","24086","55","44","165","2592000","true","excluded-hidden"
"farm","98","豪华城堡","梦幻星空套装","2","0","16825","38","30","114","2592000","true","excluded-hidden"
"farm","99","铁栅栏","梦幻星空套装","3","0","8564","23","18","69","2592000","true","excluded-hidden"
"farm","100","看门狗窝","梦幻星空套装","4","0","7587","18","15","55","2592000","true","excluded-hidden"
"farm","201","沙漠背景","沙漠套装","1","0","23088","55","44","165","2592000","true","excluded-hidden"
"farm","202","沙漠小屋","沙漠套装","2","0","15999","38","30","114","2592000","true","excluded-hidden"
"farm","203","沙漠栅栏","沙漠套装","3","0","9588","23","18","69","2592000","true","excluded-hidden"
"farm","204","沙漠狗窝","沙漠套装","4","0","7688","18","15","55","2592000","true","excluded-hidden"
"farm","205","都市霓虹背景","都市霓虹套装","1","0","23088","55","44","120","2592000","true","excluded-hidden"
"farm","206","玻璃花房","都市霓虹套装","2","0","15999","38","30","114","2592000","true","excluded-hidden"
"farm","207","白金花栏","都市霓虹套装","3","0","9588","23","18","69","2592000","true","excluded-hidden"
"farm","208","花亭小窝","都市霓虹套装","4","0","72128","18","15","55","2592000","true","excluded-hidden"
"farm","209","入学啦背景","校友套装","1","0","23088","55","44","120","2592000","true","excluded-hidden"
"farm","210","校友教学楼","校友套装","2","0","15999","38","30","114","2592000","true","excluded-hidden"
"farm","211","红旗飘飘","校友套装","3","0","9588","23","18","69","2592000","true","excluded-hidden"
"farm","212","门卫室","校友套装","4","0","72128","18","15","55","2592000","true","excluded-hidden"
"farm","213","碧草云天背景","碧草云天套装","1","0","23088","55","44","120","2592000","true","excluded-hidden"
"farm","214","风情木屋","碧草云天套装","2","0","15999","38","30","114","2592000","true","excluded-hidden"
"farm","215","积木栅栏","碧草云天套装","3","0","9588","23","18","69","2592000","true","excluded-hidden"
"farm","216","简约狗窝","碧草云天套装","4","0","72128","18","15","55","2592000","true","excluded-hidden"
"farm","217","7QQ套装","7QQCOM","1","0","79999","100","80","500","2678400","false","deferred-cosmetic"
"farm","218","7QQ小屋","7QQCOM","2","0","63999","80","64","400","2678400","false","deferred-cosmetic"
"farm","219","7QQ栅栏","7QQCOM","3","0","55999","70","56","350","2678400","false","deferred-cosmetic"
"farm","220","7QQ狗舍","7QQCOM","4","0","47999","60","48","300","2678400","false","deferred-cosmetic"
"farm","225","乡间小路","小镇风情套装","1","0","24503","55","44","165","2592000","false","deferred-cosmetic"
"farm","226","烟囱小屋","小镇风情套装","2","0","16879","38","30","114","2592000","false","deferred-cosmetic"
"farm","227","休闲躺椅","小镇风情套装","3","0","9452","23","18","69","2592000","false","deferred-cosmetic"
"farm","228","黑瓦狗窝","小镇风情套装","4","0","7538","18","15","55","2592000","false","deferred-cosmetic"
"farm","229","蓝色海洋","去海边吧套装","1","0","25268","55","44","165","2592000","true","excluded-hidden"
"farm","230","红瓦小屋","去海边吧套装","2","0","16299","38","30","114","2592000","true","excluded-hidden"
"farm","231","木桩阑珊","去海边吧套装","3","0","9108","23","18","69","2592000","true","excluded-hidden"
"farm","232","红瓦狗窝","去海边吧套装","4","0","7856","18","15","55","2592000","true","excluded-hidden"
"farm","233","浓情绿野背景","浓情绿野套装","1","0","1","0","0","0","2678400","false","deferred-cosmetic"
"farm","234","尚品小屋","浓情绿野套装","2","0","1","0","0","0","2678400","false","deferred-cosmetic"
"farm","235","云白排桩","浓情绿野套装","3","0","1","0","0","0","2678400","false","deferred-cosmetic"
"farm","236","名雅小窝","浓情绿野套装","4","0","1","0","0","0","2678400","false","deferred-cosmetic"
"farm","237","圣诞背景","圣诞节题套装","1","0","1","0","0","0","2678400","true","excluded-hidden"
"farm","238","圣诞小屋","圣诞节套装","2","0","1","0","0","0","2678400","true","excluded-hidden"
"farm","239","圣诞红栏","圣诞节套装","3","0","1","0","0","0","2678400","true","excluded-hidden"
"farm","240","圣诞小窝","圣诞节套装","4","0","1","0","0","0","2678400","true","excluded-hidden"
"farm","241","新年快乐背景","新年快乐套装","1","0","1","0","0","0","2678400","true","excluded-hidden"
"farm","242","春雪小屋","新年快乐套装","2","0","1","0","0","0","2678400","true","excluded-hidden"
"farm","243","春雪红栏","新年快乐套装","3","0","1","0","0","0","2678400","true","excluded-hidden"
"farm","244","春雪小窝","新年快乐套装","4","0","1","0","0","0","2678400","true","excluded-hidden"
"farm","245","世博家园背景","世博主题套装","1","0","1","0","0","0","2678400","true","excluded-hidden"
"farm","246","中国馆小屋","世博主题套装","2","0","1","0","0","0","2678400","true","excluded-hidden"
"farm","247","绿草红栏","世博主题套装","3","0","1","0","0","0","2678400","true","excluded-hidden"
"farm","248","红乐小窝","世博主题套装","4","0","1","0","0","0","2678400","true","excluded-hidden"
"farm","249","虎年新春背景","虎年新春","1","0","25268","55","44","165","2592000","true","excluded-hidden"
"farm","250","虎年大屋","虎年新春","2","0","16299","38","30","114","2592000","true","excluded-hidden"
"farm","251","新年红栏","虎年新春","3","0","9108","23","18","69","2592000","true","excluded-hidden"
"farm","252","新春狗窝","虎年新春","4","0","7856","18","15","55","2592000","true","excluded-hidden"
"farm","253","董衣草之恋背景","董衣草之恋套装","1","0","25268","55","44","165","2592000","false","deferred-cosmetic"
"farm","254","董衣草之恋大屋","董衣草之恋套装","2","0","16299","38","30","114","2592000","false","deferred-cosmetic"
"farm","255","董衣草之恋红栏","董衣草之恋套装","3","0","9108","23","18","69","2592000","false","deferred-cosmetic"
"farm","256","董衣草之恋狗窝","董衣草之恋套装","4","0","7856","18","15","55","2592000","false","deferred-cosmetic"
"farm","257","熊猫宝贝背景","熊猫宝贝套装","1","0","25268","55","44","165","2592000","false","deferred-cosmetic"
"farm","258","熊猫宝贝大屋","熊猫宝贝套装","2","0","16299","38","30","114","2592000","false","deferred-cosmetic"
"farm","259","熊猫宝贝红栏","熊猫宝贝套装","3","0","9108","23","18","69","2592000","false","deferred-cosmetic"
"farm","260","熊猫宝贝狗窝","熊猫宝贝套装","4","0","7856","18","15","55","2592000","false","deferred-cosmetic"
"farm","261","公益背景","公益套装","1","0","25268","55","44","165","2592000","true","excluded-hidden"
"farm","262","公益大屋","公益套装","2","0","16299","38","30","114","2592000","true","excluded-hidden"
"farm","263","公益围栏","公益套装","3","0","9108","23","18","69","2592000","true","excluded-hidden"
"farm","264","公益狗窝","公益套装","4","0","7856","18","15","55","2592000","true","excluded-hidden"
"farm","265","三亚背景","三亚套装","1","0","25268","55","44","165","2592000","false","deferred-cosmetic"
"farm","266","三亚大屋","三亚套装","2","0","16299","38","30","114","2592000","false","deferred-cosmetic"
"farm","267","三亚围栏","三亚套装","3","0","9108","23","18","69","2592000","false","deferred-cosmetic"
"farm","268","三亚狗窝","三亚套装","4","0","7856","18","15","55","2592000","false","deferred-cosmetic"
"farm","269","绿色背景","农场绿色装扮","1","0","25268","55","44","165","2592000","true","excluded-hidden"
"farm","270","绿色大屋","农场绿色装扮","2","0","16299","38","30","114","2592000","true","excluded-hidden"
"farm","271","绿色围栏","农场绿色装扮","3","0","9108","23","18","69","2592000","true","excluded-hidden"
"farm","272","绿色狗窝","农场绿色装扮","4","0","7856","18","15","55","2592000","true","excluded-hidden"
"farm","273","心相印背景","心心相印套装","1","0","25268","55","44","165","2592000","false","deferred-cosmetic"
"farm","274","心相印大屋","心心相印套装","2","0","16299","38","30","114","2592000","false","deferred-cosmetic"
"farm","275","心相印围栏","心心相印套装","3","0","9108","23","18","69","2592000","false","deferred-cosmetic"
"farm","276","心相印狗窝","心心相印套装","4","0","7856","18","15","55","2592000","false","deferred-cosmetic"
"farm","277","QQ返利背景","QQ返利套装","1","0","1","0","0","0","2678400","true","excluded-hidden"
"farm","278","QQ返利小屋","QQ返利套装","2","0","1","0","0","0","2678400","true","excluded-hidden"
"farm","279","QQ返利围栏","QQ返利套装","3","0","1","0","0","0","2678400","true","excluded-hidden"
"farm","280","QQ返利狗窝","QQ返利套装","4","0","1","0","0","0","2678400","true","excluded-hidden"
"farm","281","方楼酒坊背景","方楼酒坊套装","1","0","25268","55","44","165","2592000","true","excluded-hidden"
"farm","282","方楼酒坊大屋","方楼酒坊套装","2","0","16299","38","30","114","2592000","true","excluded-hidden"
"farm","283","方楼酒坊围栏","方楼酒坊套装","3","0","9108","23","18","69","2592000","true","excluded-hidden"
"farm","284","方楼酒坊狗窝","方楼酒坊套装","4","0","7856","18","15","55","2592000","true","excluded-hidden"
"farm","285","八角别墅背景","八角别墅套装","1","0","25268","55","44","165","2592000","true","excluded-hidden"
"farm","286","八角别墅大屋","八角别墅套装","2","0","16299","38","30","114","2592000","true","excluded-hidden"
"farm","287","八角别墅围栏","八角别墅套装","3","0","9108","23","18","69","2592000","true","excluded-hidden"
"farm","288","八角别墅狗窝","八角别墅套装","4","0","7856","18","15","55","2592000","true","excluded-hidden"
"farm","289","五一假日背景","五一假日套装","1","0","25268","55","44","165","2592000","true","excluded-hidden"
"farm","290","五一假日大屋","五一假日套装","2","0","16299","38","30","114","2592000","true","excluded-hidden"
"farm","291","五一假日围栏","五一假日套装","3","0","9108","23","18","69","2592000","true","excluded-hidden"
"farm","292","五一假日小窝","五一假日套装","4","0","7856","18","15","55","2592000","true","excluded-hidden"
"farm","293","国防背景","国防套装","1","0","25268","55","44","165","2592000","true","excluded-hidden"
"farm","294","国防大楼","国防套装","2","0","16299","38","30","114","2592000","true","excluded-hidden"
"farm","295","国防围墙","国防套装","3","0","9108","23","18","69","2592000","true","excluded-hidden"
"farm","296","国防狗窝","国防套装","4","0","7856","18","15","55","2592000","true","excluded-hidden"
"farm","297","音乐背景","音乐套装","1","0","25268","55","44","165","2592000","true","excluded-hidden"
"farm","298","音乐大楼","音乐套装","2","0","16299","38","30","114","2592000","true","excluded-hidden"
"farm","299","音乐围墙","音乐套装","3","0","9108","23","18","69","2592000","true","excluded-hidden"
"farm","300","音乐狗窝","音乐套装","4","0","7856","18","15","55","2592000","true","excluded-hidden"
"farm","301","qzone五周年背景","五周年套装","1","0","1","0","0","0","2592000","true","excluded-hidden"
"farm","302","缤纷五年","五周年套装","2","0","1","0","0","0","2592000","true","excluded-hidden"
"farm","303","星星栅栏","五周年套装","3","0","1","0","0","0","2592000","true","excluded-hidden"
"farm","304","星蓝狗窝","五周年套装","4","0","1","0","0","0","2592000","true","excluded-hidden"
"farm","305","加工坊背景","加工坊套装","1","0","25268","55","44","165","2592000","true","excluded-hidden"
"farm","306","加工坊城堡","加工坊套装","2","0","16299","38","30","114","2592000","true","excluded-hidden"
"farm","307","加工坊围栏","加工坊套装","3","0","9108","23","18","69","2592000","true","excluded-hidden"
"farm","308","加工坊小窝","加工坊套装","4","0","7856","18","15","55","2592000","true","excluded-hidden"
"farm","309","3366背景","3366套装","1","0","30000","0","0","120","2678400","false","deferred-cosmetic"
"farm","310","3366小屋","3366套装","2","0","18000","0","0","72","2678400","false","deferred-cosmetic"
"farm","311","3366围栏","3366套装","3","0","9000","0","0","36","2678400","false","deferred-cosmetic"
"farm","312","3366狗窝","3366套装","4","0","6000","0","0","24","2678400","false","deferred-cosmetic"
"farm","313","教学楼背景","教学楼套装","1","0","30000","0","0","120","2678400","false","deferred-cosmetic"
"farm","314","教学楼","教学楼套装","2","0","18000","0","0","72","2678400","false","deferred-cosmetic"
"farm","315","教学楼围栏","教学楼套装","3","0","9000","0","0","36","2678400","false","deferred-cosmetic"
"farm","316","教学楼狗屋","教学楼套装","4","0","6000","0","0","24","2678400","false","deferred-cosmetic"
"farm","321","糖果装饰","糖果装饰","1","0","63999","80","64","400","2678400","false","deferred-cosmetic"
"farm","322","糖果木屋","糖果装饰","2","0","55999","70","56","350","2678400","false","deferred-cosmetic"
"farm","323","糖果栅栏","糖果装饰","3","0","47999","60","48","300","2678400","false","deferred-cosmetic"
"farm","324","糖果狗舍","糖果装饰","4","0","39999","50","40","250","2678400","false","deferred-cosmetic"
"farm","325","卡通装饰","卡通装饰","1","0","63999","80","64","400","2678400","false","deferred-cosmetic"
"farm","326","卡通木屋","卡通装饰","2","0","55999","70","56","350","2678400","false","deferred-cosmetic"
"farm","327","卡通栅栏","卡通装饰","3","0","47999","60","48","300","2678400","false","deferred-cosmetic"
"farm","328","卡通狗舍","卡通装饰","4","0","39999","50","40","250","2678400","false","deferred-cosmetic"
"farm","329","冰爽之星装饰","冰爽之星装饰","1","0","63999","80","64","400","2678400","false","deferred-cosmetic"
"farm","330","冰爽之星冰屋","冰爽之星装饰","2","0","55999","70","56","350","2678400","false","deferred-cosmetic"
"farm","331","冰爽之星栅栏","冰爽之星装饰","3","0","47999","60","48","300","2678400","false","deferred-cosmetic"
"farm","332","冰爽之星狗舍","冰爽之星装饰","4","0","39999","50","40","250","2678400","false","deferred-cosmetic"
"farm","333","游戏装饰","游戏套装","1","0","63999","80","64","400","2678400","false","deferred-cosmetic"
"farm","334","游戏凉亭","游戏套装","2","0","55999","70","56","350","2678400","false","deferred-cosmetic"
"farm","335","游戏石栏","游戏套装","3","0","47999","60","48","300","2678400","false","deferred-cosmetic"
"farm","336","游戏坛舍","游戏套装","4","0","39999","50","40","250","2678400","false","deferred-cosmetic"
"farm","337","搜客帝国","soso套装","1","0","63999","80","64","400","2678400","false","deferred-cosmetic"
"farm","338","搜客小屋","soso套装","2","0","55999","70","56","350","2678400","false","deferred-cosmetic"
"farm","339","搜客栅栏","soso套装","3","0","47999","60","48","300","2678400","false","deferred-cosmetic"
"farm","340","搜客狗窝","soso套装","4","0","39999","50","40","250","2678400","false","deferred-cosmetic"
"farm","341","云顶山庄背景","云顶山庄套装","1","0","1","0","0","0","2678400","false","deferred-cosmetic"
"farm","342","云顶小屋","云顶山庄套装","2","0","1","0","0","0","2678400","false","deferred-cosmetic"
"farm","343","云顶栅栏","云顶山庄套装","3","0","1","0","0","0","2678400","false","deferred-cosmetic"
"farm","344","云顶小窝","云顶山庄套装","4","0","1","0","0","0","2678400","false","deferred-cosmetic"
"farm","345","丝路绿洲","丝路英雄套装","1","0","14499","50","40","288","2678400","false","deferred-cosmetic"
"farm","346","丝路城堡","丝路英雄套装","2","0","9999","40","32","200","2678400","false","deferred-cosmetic"
"farm","347","丝路栅栏","丝路英雄套装","3","0","5999","25","20","120","2678400","false","deferred-cosmetic"
"farm","348","丝路小窝","丝路英雄套装","4","0","4999","20","16","96","2678400","false","deferred-cosmetic"
"farm","349","梦想热带海","梦想热带海套装","1","0","99999","120","96","600","2678400","false","deferred-cosmetic"
"farm","350","海滩遮阳棚","海滩遮阳棚","2","0","71999","88","70","440","2678400","false","deferred-cosmetic"
"farm","351","热带海滩栅栏","热带海滩栅栏","3","0","39999","48","40","240","2678400","false","deferred-cosmetic"
"farm","352","夏日娱乐小窝","夏日娱乐小窝","4","0","31999","40","32","200","2678400","false","deferred-cosmetic"
"farm","353","月下精灵","月下精灵套装","1","0","14499","50","40","288","2678400","false","deferred-cosmetic"
"farm","354","夜灯蘑菇房","月下精灵套装","2","0","9999","40","32","200","2678400","false","deferred-cosmetic"
"farm","355","蔓藤栅栏","月下精灵套装","3","0","5999","25","20","120","2678400","false","deferred-cosmetic"
"farm","356","小夜灯蘑菇房","月下精灵套装","4","0","4999","20","16","96","2678400","false","deferred-cosmetic"
"farm","357","招财神猫","招财神猫","1","0","14499","50","40","288","2678400","false","deferred-cosmetic"
"farm","358","积雪木屋","积雪木屋","2","0","9999","40","32","200","2678400","false","deferred-cosmetic"
"farm","359","神木栅栏","神木栅栏","3","0","5999","25","20","120","2678400","false","deferred-cosmetic"
"farm","360","积雪小木屋","积雪小木屋","4","0","4999","20","16","96","2678400","false","deferred-cosmetic"
"farm","361","时光机","时光机","1","0","14499","50","40","288","2678400","false","deferred-cosmetic"
"farm","362","神奇时钟","神奇时钟","2","0","9999","40","32","200","2678400","false","deferred-cosmetic"
"farm","363","时钟拉杆围栏","时钟拉杆围栏","3","0","5999","25","20","120","2678400","false","deferred-cosmetic"
"farm","364","时钟调速器","时钟调速器","4","0","4999","20","16","96","2678400","false","deferred-cosmetic"
"farm","365","宏耀宣言","宏耀宣言","1","0","14499","50","40","288","2678400","false","deferred-cosmetic"
"farm","366","金星窑洞","金星窑洞","2","0","9999","40","32","200","2678400","false","deferred-cosmetic"
"farm","367","红旗飘围栏","红旗飘围栏","3","0","5999","25","20","120","2678400","false","deferred-cosmetic"
"farm","368","宣言雕塑","宣言雕塑","4","0","4999","20","16","96","2678400","false","deferred-cosmetic"
"farm","373","楚河营地","楚河汉界套装","1","0","99999","120","96","600","2678400","false","deferred-cosmetic"
"farm","374","楚汉小屋","楚河汉界套装","2","0","71999","88","70","440","2678400","false","deferred-cosmetic"
"farm","375","楚汉栅栏","楚河汉界套装","3","0","39999","48","40","240","2678400","false","deferred-cosmetic"
"farm","376","楚汉小窝","楚河汉界套装","4","0","31999","40","32","200","2678400","false","deferred-cosmetic"
"farm","377","花好月圆","花好月圆","1","0","99999","120","96","600","2678400","false","deferred-cosmetic"
"farm","378","月下凉亭","月下凉亭","2","0","71999","88","70","440","2678400","false","deferred-cosmetic"
"farm","379","莲花围栏","莲花围栏","3","0","39999","48","40","240","2678400","false","deferred-cosmetic"
"farm","380","凉亭小窝","凉亭小窝","4","0","31999","40","32","200","2678400","false","deferred-cosmetic"
"farm","381","普天同庆","普天同庆","1","0","99999","120","96","600","2678400","false","deferred-cosmetic"
"farm","382","十一金座","十一金座","2","0","71999","88","70","440","2678400","false","deferred-cosmetic"
"farm","383","十一金栏","十一金栏","3","0","39999","48","40","240","2678400","false","deferred-cosmetic"
"farm","384","十一金柱","十一金柱","4","0","31999","40","32","200","2678400","false","deferred-cosmetic"
"farm","385","互联时空","互联时空","1","0","99999","120","96","600","2678400","false","deferred-cosmetic"
"farm","386","科技小站","科技小站","2","0","71999","88","70","440","2678400","false","deferred-cosmetic"
"farm","387","科技围栏","科技围栏","3","0","39999","48","40","240","2678400","false","deferred-cosmetic"
"farm","388","精巧小窝","精巧小窝","4","0","31999","40","32","200","2678400","false","deferred-cosmetic"
"farm","400","新年快乐","新年快乐","1","0","14499","50","40","288","2592000","true","excluded-hidden"
"farm","401","新年小屋","新年快乐","2","0","10099","40","32","200","2592000","true","excluded-hidden"
"farm","402","新年围墙","新年快乐","3","0","5989","25","20","120","2592000","true","excluded-hidden"
"farm","403","新年狗窝","新年快乐","4","0","5899","20","16","96","2592000","true","excluded-hidden"
"farm","404","简单世界","简单世界","1","0","14499","50","40","288","2592000","true","excluded-hidden"
"farm","405","简单小屋","简单世界","2","0","10099","40","32","200","2592000","true","excluded-hidden"
"farm","406","简单围墙","简单世界","3","0","5989","25","20","120","2592000","true","excluded-hidden"
"farm","407","简单狗窝","简单世界","4","0","5899","20","16","96","2592000","true","excluded-hidden"
"farm","408","桃花源记","桃花源记","1","0","14499","50","40","288","2592000","true","excluded-hidden"
"farm","409","桃花小屋","桃花源记","2","0","10099","40","32","200","2592000","true","excluded-hidden"
"farm","410","桃花围墙","桃花源记","3","0","5989","25","20","120","2592000","true","excluded-hidden"
"farm","411","桃花狗窝","桃花源记","4","0","5899","20","16","96","2592000","true","excluded-hidden"
"farm","412","星际地面","天外来客","1","0","14499","50","40","288","2592000","true","excluded-hidden"
"farm","413","天外来客","天外来客","2","0","10099","40","32","200","2592000","true","excluded-hidden"
"farm","414","外星栅栏","天外来客","3","0","5989","25","20","120","2592000","true","excluded-hidden"
"farm","415","蛋壳狗窝","天外来客","4","0","5899","20","16","96","2592000","true","excluded-hidden"
"farm","416","冰天雪地","雪山飞狐","1","0","14499","50","40","288","2592000","true","excluded-hidden"
