"source_id","domain","values"
"245","farm","7200;14400;25200;39600;54000;2000000000"
"246","farm","28800;57600;86400;115200;144000;2000000000"
"247","farm","28800;57600;86400;115200;144000;2000000000"
"249","farm","32400;64800;97200;129600;162000;2000000000"
"250","farm","28800;57600;90000;122400;151200;2000000000"
"251","farm","28800;57600;90000;122400;151200;2000000000"
"253","farm","32400;64800;97200;129600;162000;2000000000"
"257","farm","21600;39600;61200;82800;104400;2000000000"
"260","farm","21600;39600;61200;82800;104400;2000000000"
"262","farm","36000;72000;108000;144000;180000;2000000000"
"264","farm","18000;39600;61200;86400;115200;2000000000"
"265","farm","32400;68400;104400;136800;169200;2000000000"
"266","farm","32400;64800;97200;129600;162000;2000000000"
"267","farm","21600;43200;72000;100800;136800;2000000000"
"268","farm","36000;72000;108000;144000;180000;2000000000"
"269","farm","10800;21600;39600;61200;86400;2000000000"
"301","farm","32400;64800;97200;129600;162000;2000000000"
"302","farm","32400;68400;104400;136800;169200;2000000000"
"303","farm","36000;72000;108000;144000;180000;2000000000"
"304","farm","32400;64800;97200;133200;169200;2000000000"
"305","farm","7200;18000;32400;46800;61200;2000000000"
"306","farm","10800;25200;39600;54000;72000;2000000000"
"308","farm","10800;25200;43200;43200;61200;2000000000"
"309","farm","25200;50400;75600;100800;126000;2000000000"
"310","farm","18000;39600;61200;86400;111600;2000000000"
"311","farm","14400;32400;50400;68400;86400;2000000000"
"312","farm","14400;32400;50400;68400;86400;2000000000"
"313","farm","14400;32400;50400;68400;86400;2000000000"
"314","farm","32400;68400;104400;136800;169200;2000000000"
"315","farm","25200;50400;75600;100800;126000;2000000000"
"316","farm","7200;18000;32400;39600;46800;2000000000"
"317","farm","7200;14400;25200;36000;50400;2000000000"
"318","farm","7200;14400;25200;36000;50400;2000000000"
"319","farm","7200;14400;25200;39600;39600;2000000000"
"320","farm","7200;14400;25200;39600;39600;2000000000"
"321","farm","7200;18000;28800;43200;57600;2000000000"
"322","farm","7200;18000;32400;46800;61200;2000000000"
"323","farm","10800;21600;32400;46800;64800;2000000000"
"324","farm","10800;25200;39600;54000;72000;2000000000"
"325","farm","10800;25200;43200;61200;79200;2000000000"
"326","farm","32400;68400;104400;136800;169200;2000000000"
"327","farm","21600;39600;57600;79200;104400;2000000000"
"328","farm","21600;39600;61200;82800;104400;2000000000"
"329","farm","21600;43200;61200;82800;108000;2000000000"
"330","farm","18000;39600;61200;82800;111600;2000000000"
"332","farm","28800;61200;93600;129600;165600;2000000000"
"333","farm","28800;61200;93600;129600;165600;2000000000"
"334","farm","7200;18000;28800;43200;57600;2000000000"
"335","farm","14400;28800;43200;57600;75600;2000000000"
"336","farm","14400;28800;43200;57600;75600;2000000000"
"337","farm","14400;28800;43200;57600;75600;2000000000"
"338","farm","14400;28800;43200;57600;75600;2000000000"
"339","farm","14400;28800;43200;57600;75600;2000000000"
"340","farm","18000;39600;61200;86400;111600;2000000000"
"341","farm","18000;39600;61200;86400;111600;2000000000"
"342","farm","18000;39600;61200;86400;111600;2000000000"
"343","farm","18000;39600;61200;86400;111600;2000000000"
"344","farm","18000;39600;61200;86400;111600;2000000000"
"345","farm","18000;39600;61200;86400;111600;2000000000"
"346","farm","18000;39600;61200;86400;111600;2000000000"
"347","farm","18000;39600;61200;86400;111600;2000000000"
"348","farm","18000;39600;61200;86400;111600;2000000000"
"349","farm","18000;39600;61200;86400;111600;2000000000"
"350","farm","18000;39600;61200;86400;111600;2000000000"
"351","farm","18000;39600;61200;86400;111600;2000000000"
"352","farm","18000;39600;61200;86400;111600;2000000000"
"353","farm","18000;39600;61200;86400;111600;2000000000"
"354","farm","18000;39600;61200;86400;111600;2000000000"
"355","farm","18000;39600;61200;86400;111600;2000000000"
"356","farm","18000;39600;61200;86400;111600;2000000000"
"357","farm","18000;39600;61200;86400;111600;2000000000"
"358","farm","18000;39600;61200;86400;111600;2000000000"
"359","farm","18000;39600;61200;86400;111600;2000000000"
"360","farm","18000;39600;61200;86400;111600;2000000000"
"361","farm","18000;39600;61200;86400;111600;2000000000"
"362","farm","18000;39600;61200;86400;111600;2000000000"
"363","farm","18000;39600;61200;86400;111600;2000000000"
"364","farm","18000;39600;61200;86400;111600;2000000000"
"365","farm","18000;39600;61200;86400;111600;2000000000"
"366","farm","21600;46800;64800;90000;118800;2000000000"
"367","farm","18000;36000;54000;72000;90000;2000000000"
"371","farm","21600;43200;68400;93600;126000;2000000000"
"378","farm","18000;36000;54000;72000;90000;2000000000"
"380","farm","32400;64800;97200;133200;169200;2000000000"
"382","farm","21600;39600;57600;79200;104400;2000000000"
"383","farm","21600;39600;57600;79200;104400;2000000000"
"384","farm","21600;39600;57600;79200;104400;2000000000"
"385","farm","21600;39600;57600;79200;104400;2000000000"
"386","farm","21600;39600;57600;79200;104400;2000000000"
"387","farm","21600;39600;57600;79200;104400;2000000000"
"388","farm","21600;39600;57600;79200;104400;2000000000"
"389","farm","21600;39600;57600;79200;104400;2000000000"
"390","farm","21600;39600;57600;79200;104400;2000000000"
"391","farm","21600;39600;57600;79200;104400;2000000000"
"392","farm","21600;39600;57600;79200;104400;2000000000"
"393","farm","21600;39600;57600;79200;104400;2000000000"
"396","farm","10800;21600;39600;57600;86400;2000000000"
"397","farm","18000;39600;61200;86400;111600;2000000000"
"398","farm","18000;39600;61200;86400;111600;2000000000"
"399","farm","18000;39600;61200;86400;111600;2000000000"
"400","farm","21600;39600;57600;79200;104400;2000000000"
"401","farm","28800;61200;93600;129600;165600;2000000000"
"402","farm","21600;43200;64800;86400;108000;2000000000"
"403","farm","28800;61200;93600;129600;165600;2000000000"
"404","farm","39600;82800;126000;172800;219600;2000000000"
"405","farm","10800;25200;39600;54000;72000;2000000000"
"406","farm","18000;39600;61200;86400;111600;2000000000"
"410","farm","18000;36000;57600;82800;108000;2000000000"
"412","farm","25200;50400;75600;104400;133200;2000000000"
"413","farm","50400;100800;151200;205200;259200;2000000000"
"415","farm","14400;32400;54000;75600;100800;2000000000"
"416","farm","39600;82800;126000;172800;219600;2000000000"
"417","farm","18000;39600;61200;86400;111600;2000000000"
"418","farm","21600;36000;54000;72000;90000;2000000000"
"419","farm","14400;28800;43200;57600;75600;2000000000"
"423","farm","28800;61200;93600;129600;165600;2000000000"
"424","farm","14400;28800;43200;57600;75600;2000000000"
"425","farm","18000;39600;61200;86400;111600;2000000000"
"426","farm","28800;61200;93600;129600;165600;2000000000"
"427","farm","21600;46800;64800;90000;118800;2000000000"
"429","farm","25200;50400;75600;100800;126000;2000000000"
"430","farm","14400;32400;54000;75600;100800;2000000000"
"431","farm","18000;36000;54000;72000;90000;2000000000"
"433","farm","18000;39600;61200;86400;111600;2000000000"
"434","farm","21600;36000;54000;72000;90000;2000000000"
"435","farm","28800;61200;93600;129600;165600;2000000000"
"436","farm","18000;39600;61200;86400;111600;2000000000"
"437","farm","18000;39600;61200;86400;111600;2000000000"
"438","farm","18000;39600;61200;86400;111600;2000000000"
"439","farm","28800;61200;93600;129600;165600;2000000000"
"440","farm","25200;50400;75600;100800;126000;2000000000"
"441","farm","14400;28800;43200;57600;72000;2000000000"
"442","farm","39600;82800;126000;172800;219600;2000000000"
"443","farm","54000;108000;165600;219600;277200;2000000000"
"444","farm","18000;36000;54000;72000;90000;2000000000"
"445","farm","14400;28800;43200;57600;72000;2000000000"
"446","farm","14400;28800;43200;57600;72000;2000000000"
"447","farm","21600;39600;57600;79200;104400;2000000000"
"448","farm","28800;61200;93600;129600;165600;2000000000"
"449","farm","14400;32400;54000;75600;100800;2000000000"
"450","farm","7200;25200;57600;82800;100800;2000000000"
"451","farm","18000;39600;61200;86400;111600;2000000000"
"452","farm","18000;39600;61200;86400;111600;2000000000"
"453","farm","28800;57600;86400;115200;144000;2000000000"
"454","farm","21600;43200;61200;82800;108000;2000000000"
"455","farm","21600;39600;57600;75600;100800;2000000000"
"456","farm","32400;68400;104400;136800;169200;2000000000"
"457","farm","25200;50400;75600;100800;126000;2000000000"
"458","farm","18000;39600;61200;86400;111600;2000000000"
"460","farm","32400;64800;100800;144000;187200;2000000000"
"461","farm","28800;57600;93600;129600;172800;2000000000"
"463","farm","28800;57600;97200;136800;176400;2000000000"
"465","farm","28800;57600;93600;133200;172800;2000000000"
"468","farm","28800;57600;93600;136800;180000;2000000000"
"469","farm","28800;57600;93600;129600;169200;2000000000"
"470","farm","36000;72000;111600;154800;198000;2000000000"
"471","farm","28800;57600;93600;129600;165600;2000000000"
"472","farm","18000;39600;61200;86400;111600;2000000000"
"490","farm","14400;32400;54000;75600;100800;2000000000"
"491","farm","18000;36000;54000;72000;90000;2000000000"
"501","farm","18000;39600;61200;86400;111600;2000000000"
"502","farm","18000;39600;61200;86400;111600;2000000000"
"503","farm","18000;39600;61200;86400;111600;2000000000"
"504","farm","18000;39600;61200;86400;111600;2000000000"
"505","farm","18000;39600;61200;86400;111600;2000000000"
"507","farm","18000;39600;61200;86400;111600;2000000000"
"508","farm","18000;39600;61200;86400;111600;2000000000"
"509","farm","18000;39600;61200;86400;111600;2000000000"
"510","farm","18000;39600;61200;86400;111600;2000000000"
"511","farm","43200;90000;136800;183600;230400;2000000000"
"512","farm","43200;90000;136800;183600;230400;2000000000"
"513","farm","43200;90000;136800;183600;230400;2000000000"
"514","farm","43200;90000;136800;183600;230400;2000000000"
"515","farm","43200;90000;136800;183600;230400;2000000000"
"516","farm","28800;61200;93600;129600;165600;2000000000"
"517","farm","28800;61200;93600;129600;165600;2000000000"
"518","farm","28800;61200;93600;129600;165600;2000000000"
"519","farm","28800;61200;93600;129600;165600;2000000000"
"520","farm","28800;61200;93600;129600;165600;2000000000"
"521","farm","28800;61200;93600;129600;165600;2000000000"
"522","farm","28800;61200;93600;129600;165600;2000000000"
"523","farm","28800;61200;93600;129600;165600;2000000000"
"524","farm","28800;61200;93600;129600;165600;2000000000"
"525","farm","28800;61200;93600;129600;165600;2000000000"
"526","farm","28800;61200;93600;129600;165600;2000000000"
"527","farm","28800;61200;93600;129600;165600;2000000000"
"528","farm","18000;39600;61200;86400;111600;2000000000"
"529","farm","18000;39600;61200;86400;111600;2000000000"
"530","farm","18000;39600;61200;86400;111600;2000000000"
"533","farm","21600;39600;57600;79200;104400;2000000000"
"534","farm","21600;39600;57600;79200;104400;2000000000"
"535","farm","21600;39600;57600;79200;104400;2000000000"
"557","farm","18000;39600;61200;86400;111600;2000000000"
"558","farm","18000;39600;61200;86400;111600;2000000000"
"559","farm","18000;39600;61200;86400;111600;2000000000"
"560","farm","18000;39600;61200;86400;111600;2000000000"
"561","farm","18000;39600;61200;86400;111600;2000000000"
"562","farm","18000;39600;61200;86400;111600;2000000000"
"563","farm","18000;39600;61200;86400;111600;2000000000"
"564","farm","21600;43200;64800;90000;115200;2000000000"
"565","farm","21600;43200;64800;90000;115200;2000000000"
"566","farm","21600;43200;64800;90000;115200;2000000000"
"567","farm","21600;43200;64800;90000;115200;2000000000"
"568","farm","21600;43200;64800;90000;115200;2000000000"
"569","farm","21600;43200;64800;90000;115200;2000000000"
"570","farm","21600;43200;64800;90000;115200;2000000000"
"571","farm","21600;43200;64800;90000;115200;2000000000"
"572","farm","21600;43200;64800;90000;115200;2000000000"
"573","farm","21600;43200;64800;90000;115200;2000000000"
"574","farm","21600;43200;64800;90000;115200;2000000000"
"575","farm","21600;43200;64800;90000;115200;2000000000"
"576","farm","21600;43200;64800;90000;115200;2000000000"
"577","farm","21600;43200;64800;90000;115200;2000000000"
"578","farm","21600;43200;64800;90000;115200;2000000000"
"579","farm","21600;43200;64800;90000;115200;2000000000"
"580","farm","21600;43200;64800;90000;115200;2000000000"
"581","farm","21600;43200;64800;90000;115200;2000000000"
"583","farm","28800;61200;93600;129600;165600;2000000000"
"584","farm","39600;82800;126000;172800;219600;2000000000"
"585","farm","28800;61200;86400;111600;129600;2000000000"
"586","farm","28800;57600;93600;129600;165600;2000000000"
"600","farm","36000;72000;111600;151200;194400;2000000000"
"601","farm","36000;72000;111600;151200;194400;2000000000"
"602","farm","14400;32400;50400;79200;111600;2000000000"
"603","farm","14400;32400;54000;75600;100800;2000000000"
"604","farm","14400;32400;54000;75600;100800;2000000000"
"605","farm","21600;46800;64800;90000;118800;2000000000"
"606","farm","21600;46800;64800;90000;118800;2000000000"
"607","farm","21600;46800;64800;90000;118800;2000000000"
"608","farm","21600;46800;64800;90000;118800;2000000000"
"609","farm","21600;46800;64800;90000;118800;2000000000"
"610","farm","21600;46800;64800;90000;118800;2000000000"
"611","farm","21600;39600;57600;79200;104400;2000000000"
"612","farm","21600;39600;57600;79200;104400;2000000000"
"613","farm","21600;39600;57600;79200;104400;2000000000"
"614","farm","21600;39600;57600;79200;104400;2000000000"
"615","farm","21600;39600;57600;79200;104400;2000000000"
"616","farm","21600;39600;57600;79200;104400;2000000000"
"617","farm","21600;39600;57600;79200;104400;2000000000"
"618","farm","21600;39600;57600;79200;104400;2000000000"
"619","farm","14400;32400;54000;75600;100800;2000000000"
"620","farm","21600;43200;64800;86400;108000;2000000000"
"621","farm","21600;43200;64800;86400;108000;2000000000"
"622","farm","21600;43200;61200;79200;104400;2000000000"
"623","farm","28800;54000;79200;108000;136800;2000000000"
"624","farm","21600;39600;54000;68400;93600;2000000000"
"625","farm","14400;32400;54000;75600;100800;2000000000"
"626","farm","21600;43200;64800;86400;108000;2000000000"
"627","farm","7200;14400;28800;46800;75600;2000000000"
"700","farm","21600;43200;64800;86400;108000;2000000000"
"702","farm","21600;43200;72000;100800;136800;2000000000"
"704","farm","25200;54000;82800;115200;151200;2000000000"
"707","farm","28800;57600;90000;122400;162000;2000000000"
"708","farm","28800;61200;93600;129600;165600;2000000000"
"709","farm","21600;43200;68400;93600;126000;2000000000"
"710","farm","21600;43200;68400;93600;126000;2000000000"
"711","farm","21600;39600;57600;79200;104400;2000000000"
"712","farm","21600;39600;57600;79200;104400;2000000000"
"713","farm","21600;39600;57600;79200;104400;2000000000"
"714","farm","21600;39600;57600;79200;104400;2000000000"
"715","farm","21600;39600;57600;79200;104400;2000000000"
"716","farm","21600;39600;57600;79200;104400;2000000000"
"717","farm","21600;39600;57600;79200;104400;2000000000"
"718","farm","21600;39600;57600;79200;104400;2000000000"
"719","farm","21600;39600;57600;79200;104400;2000000000"
"720","farm","21600;39600;57600;79200;104400;2000000000"
"721","farm","21600;39600;57600;79200;104400;2000000000"
"722","farm","21600;39600;57600;79200;104400;2000000000"
"723","farm","21600;39600;57600;79200;104400;2000000000"
"724","farm","21600;39600;57600;79200;104400;2000000000"
"725","farm","21600;39600;57600;79200;104400;2000000000"
"726","farm","21600;39600;57600;79200;104400;2000000000"
"727","farm","21600;39600;57600;79200;104400;2000000000"
"728","farm","21600;39600;57600;79200;104400;2000000000"
"729","farm","21600;39600;57600;79200;104400;2000000000"
"730","farm","21600;39600;57600;79200;104400;2000000000"
"731","farm","21600;39600;57600;79200;104400;2000000000"
"732","farm","21600;39600;57600;79200;104400;2000000000"
"733","farm","21600;39600;57600;79200;104400;2000000000"
"734","farm","21600;39600;57600;79200;104400;2000000000"
"735","farm","21600;39600;57600;79200;104400;2000000000"
"736","farm","21600;39600;57600;79200;104400;2000000000"
"737","farm","21600;39600;57600;79200;104400;2000000000"
"738","farm","21600;39600;57600;79200;104400;2000000000"
"739","farm","21600;39600;57600;79200;104400;2000000000"
"740","farm","21600;39600;57600;79200;104400;2000000000"
"741","farm","21600;39600;57600;79200;104400;2000000000"
"742","farm","21600;39600;57600;79200;104400;2000000000"
"743","farm","21600;39600;57600;79200;104400;2000000000"
"744","farm","21600;39600;57600;79200;104400;2000000000"
"1000","farm","7200;18000;28800;43200;57600;2000000000"
