"source_id","name","byproduct_name","house","original_level","purchase_price","product_price","byproduct_price","animal_harvest_experience","byproduct_harvest_experience","base_yield","consume","cub_seconds","maturity_seconds","production_seconds","production_cycle_seconds","production_action_seconds","hidden","has_icon","has_product_asset","asset_status","integration_policy"
"1017","炫舞龟","炫舞龟崽","hutch","10","11500","12190","70","25","13","12","2","21600","43200","216000","36000","15","false","true","true","complete-two-parts","core-candidate"
"1018","穿山甲","穿山甲崽","hutch","28","17300","18890","78","23","10","13","3","27000","54000","288000","36000","15","false","true","true","complete-two-parts","core-candidate"
"1019","紫貂","紫貂崽","hutch","32","18560","19100","82","13","6","10","3","23400","46800","226800","25200","15","false","true","true","complete-two-parts","core-candidate"
"1020","雪貂","雪貂崽","hutch","33","18650","19190","83","14","9","14","3","25200","50400","291600","32400","15","false","true","true","complete-two-parts","core-candidate"
"1021","考拉","考拉崽","hutch","34","18690","19290","84","11","11","16","3","27000","54000","324000","36000","15","false","true","true","complete-two-parts","core-candidate"
"1022","绿尾虹雉","绿尾虹雉崽","hutch","36","18750","19380","86","9","6","11","3","21600","43200","226800","25200","15","false","true","true","complete-two-parts","core-candidate"
"1023","冠企鹅","冠企鹅崽","hutch","36","18750","19390","87","9","6","12","3","21600","36000","259200","28800","15","false","true","true","complete-two-parts","core-candidate"
"1024","山魈","山魈崽","hutch","40","19000","19850","91","9","11","16","3","28800","57600","360000","36000","15","false","true","true","complete-two-parts","core-candidate"
"1026","龙猫","龙猫崽","hutch","42","19240","20000","93","10","12","18","3","25200","50400","396000","39600","15","false","true","true","complete-two-parts","core-candidate"
"1027","旱獭","旱獭崽","hutch","18","18750","17110","63","9","6","10","3","32400","64800","230400","28800","15","false","true","true","complete-two-parts","core-candidate"
"1028","喜鹊","喜鹊崽","hutch","7","7000","8000","40","14","10","13","2","25200","50400","176400","25200","15","true","true","true","complete-two-parts","excluded-hidden"
"1029","鸳鸯","鸳鸯毛","hutch","7","7000","8000","40","14","10","13","2","25200","50400","176400","25200","15","true","true","true","complete-two-parts","excluded-hidden"
"1030","椒图","橙宝石","hutch","51","35000","42000","140","10","10","25","4","46800","93600","655200","50400","15","false","true","true","complete-two-parts","core-candidate"
"1031","袋熊","袋熊崽","hutch","44","19490","21050","95","7","11","17","3","28800","57600","360000","36000","15","false","true","true","complete-two-parts","core-candidate"
"1032","月兔（雌）","月兔崽","hutch","8","8500","10500","64","25","13","12","3","25200","50400","216000","43200","15","false","true","true","complete-two-parts","core-candidate"
"1033","月兔（雄）","月光玉","hutch","8","8500","10500","64","25","13","12","3","25200","50400","216000","43200","15","false","true","true","complete-two-parts","core-candidate"
"1034","暹罗猫","暹罗猫崽","hutch","10","24200","18350","75","31","19","16","3","37800","75600","334800","46800","15","false","true","true","complete-two-parts","core-candidate"
"1035","千年龟","长寿玉","hutch","20","25550","17890","73","34","14","16","3","43200","86400","374400","46800","15","false","true","true","complete-two-parts","core-candidate"
"1036","食蚁兽","食蚁兽崽","hutch","46","19600","21350","97","12","11","18","3","36000","72000","360000","36000","15","false","true","true","complete-two-parts","core-candidate"
"1037","饼干精灵","饼干","hutch","10","888","1800","70","34","14","2","2","28800","57600","43200","43200","15","true","true","true","complete-two-parts","excluded-hidden"
"1038","螭吻","银宝石","hutch","57","47000","55000","146","34","14","24","4","45000","90000","795600","46800","15","false","true","true","complete-two-parts","core-candidate"
"1039","大耳猬","大耳猬崽","hutch","15","26550","15020","77","34","14","15","2","39600","79200","331200","50400","15","false","true","true","complete-two-parts","core-candidate"
"1040","肉鸡","肉鸡崽","hutch","3","600","125","23","33","17","20","2","28800","57600","230400","28800","15","false","true","true","complete-two-parts","core-candidate"
"1041","肉鸭","肉鸭崽","hutch","4","800","125","28","18","15","20","2","28800","57600","230400","28800","15","false","true","true","complete-two-parts","core-candidate"
"1042","狴犴","炫兰宝石","hutch","55","45000","50000","144","18","15","26","0","36000","72000","806400","50400","15","false","true","true","complete-two-parts","core-candidate"
"1043","鹈鹕","鹈鹕","hutch","13","13057","14820","72","18","15","14","2","36000","72000","302400","43200","15","true","true","true","complete-two-parts","excluded-hidden"
"1044","雪人宝宝","圣诞雪球","hutch","30","3057","6000","80","18","15","13","3","28800","57600","291600","28800","15","true","true","true","complete-two-parts","excluded-hidden"
"1045","幸福猫","幸福之鱼","hutch","15","12500","15020","77","18","15","15","2","39600","79200","331200","50400","15","true","true","true","complete-two-parts","excluded-hidden"
"1046","琴鸟","琴鸟尾羽","hutch","47","19630","21500","98","18","15","18","3","36000","72000","360000","36000","15","false","true","true","complete-two-parts","core-candidate"
"1047","丝光鸡","丝光鸡蛋","hutch","16","12500","15110","77","18","15","16","2","39600","79200","327600","50400","15","false","true","true","complete-two-parts","core-candidate"
"1048","犰狳","犰狳崽","hutch","12","12640","14570","71","18","15","13","2","36000","72000","288000","43200","15","false","true","true","complete-two-parts","core-candidate"
"1049","神马","浮云","hutch","50","30000","32000","100","18","15","13","0","21600","43200","172800","43200","15","false","true","true","complete-two-parts","core-candidate"
"1050","白鸽","白鸽蛋","hutch","9","10000","11860","68","16","15","16","2","41400","82800","259200","54000","15","false","true","true","complete-two-parts","core-candidate"
"1051","炮仗兔","鸿运鞭炮","hutch","8","10000","11000","65","15","15","15","2","21600","43200","216000","43200","15","false","true","true","complete-two-parts","core-candidate"
"1052","袋食蚁兽","袋食蚁兽崽","hutch","43","19350","21000","94","18","15","18","3","32400","72000","360000","36000","15","false","true","true","complete-two-parts","core-candidate"
"1053","睚眦","金火石","hutch","53","43000","46500","142","25","15","25","4","43200","90000","748800","46800","15","false","true","true","complete-two-parts","core-candidate"
"1054","春燕","春燕蛋","hutch","11","12500","14000","70","12","15","12","2","32400","64800","216000","36000","15","false","true","false","complete-two-parts","core-candidate"
"1055","橙橙猴","橙果子","hutch","7","4300","5800","59","7","15","7","2","36000","72000","201600","28800","15","true","true","true","complete-two-parts","excluded-hidden"
"1056","雅利鸭","雅利果","hutch","21","15230","18000","72","15","15","15","3","36000","72000","345600","43200","15","true","true","true","complete-two-parts","excluded-hidden"
"1057","火鸡","火鸡蛋","hutch","13","13050","14820","72","15","15","14","2","36000","72000","302400","43200","15","false","true","true","complete-two-parts","core-candidate"
"1058","天竺鼠","天竺鼠崽","hutch","23","15940","18120","73","15","16","16","2","36000","72000","345600","43200","15","false","true","true","complete-two-parts","core-candidate"
"1059","鸭嘴兽","鸭嘴兽崽","hutch","33","18570","19150","82","13","15","13","3","18000","36000","291600","32400","15","false","true","true","complete-two-parts","core-candidate"
"1060","叻叻兔","兔宝宝","hutch","10","11500","12190","70","12","15","12","3","21600","43200","216000","36000","15","false","true","true","complete-two-parts","core-candidate"
"1062","哧哧鸡","鸡宝宝","hutch","15","11500","14910","73","14","15","14","3","37800","75600","302400","43200","15","false","true","true","complete-two-parts","core-candidate"
"1063","花公鸡","花色羽毛","hutch","25","16330","18250","73","16","15","16","3","32400","64800","324000","39600","15","false","true","true","complete-two-parts","core-candidate"
"1065","微博精灵","微博精灵果","hutch","35","18700","19390","88","16","15","16","3","28800","57600","288000","36000","15","false","true","true","complete-two-parts","core-candidate"
"1066","忧郁姐白菜妖子","白菜小妖","hutch","25","16430","18350","72","16","15","16","0","37800","75600","334800","43200","15","false","true","false","complete-two-parts","core-candidate"
"1067","爱漂亮的香蕉小妖^_^","香蕉小妖","hutch","25","16330","18250","73","16","15","16","3","32400","64800","324000","39600","15","false","true","true","complete-two-parts","core-candidate"
"1068","西红柿小妖","西红柿妖果","hutch","25","16680","18650","75","16","15","8","0","37800","75600","288000","43200","15","false","true","true","complete-two-parts","core-candidate"
"1069","芒果小妖","芒妖果","hutch","25","16330","18250","73","16","15","16","3","32400","64800","324000","39600","15","false","true","true","complete-two-parts","core-candidate"
"1070","喇叭花小妖","魔法喇叭花","hutch","25","16220","18260","70","16","15","8","0","37800","75600","338400","43200","15","false","true","true","complete-two-parts","core-candidate"
"1071","金鸟","金旭蛋","hutch","50","31600","33600","73","16","15","130","3","57600","115200","810000","50400","15","false","true","false","complete-two-parts","core-candidate"
"1072","爱果果","小果果","hutch","10","11200","15568","70","12","15","12","2","28800","57600","302400","36000","15","false","true","true","complete-two-parts","core-candidate"
"1073","小熊猫","小熊猫崽","hutch","29","17990","18930","79","13","15","13","3","30600","61200","259200","32400","15","false","true","true","complete-two-parts","core-candidate"
"1074","竹笋小妖","魔法竹笋","hutch","25","16220","18260","70","16","15","8","0","37800","75600","338400","43200","15","false","true","true","complete-two-parts","core-candidate"
"1075","红毛丹小妖","毛丹妖果","hutch","25","16430","18250","75","16","15","16","3","37800","75600","324000","46800","15","false","true","true","complete-two-parts","core-candidate"
"1076","山竹小妖","山竹妖果","hutch","25","16430","18350","75","16","15","16","3","37800","75600","334800","46800","15","false","true","true","complete-two-parts","core-candidate"
"1077","跳鼠","跳鼠崽","hutch","49","20000","21700","100","19","15","19","3","36000","72000","360000","36000","15","false","true","true","complete-two-parts","core-candidate"
"1080","雷鸟","雷鸟蛋","hutch","26","16390","18450","75","18","15","18","3","32400","64800","396000","46800","15","false","true","true","complete-two-parts","core-candidate"
"1083","白玉猴","白玉羽毛","hutch","5","1200","1460","39","18","15","8","0","25200","5040","129600","43200","15","false","true","true","complete-two-parts","core-candidate"
"1084","天长地久仔","桃心","hutch","36","18760","19390","87","18","15","12","3","18000","36000","259200","28800","15","false","true","true","complete-two-parts","core-candidate"
"1085","苹果酒小兔","苹果酒","hutch","10","18760","12100","40","18","15","12","3","28800","57600","216000","36000","15","true","true","true","complete-two-parts","excluded-hidden"
"1086","糖果小松鼠","棒棒糖","hutch","20","14860","13500","75","18","15","16","5","43200","86400","345600","43200","15","true","true","true","complete-two-parts","excluded-hidden"
"1087","鸿雁","鸿雁崽","hutch","25","16430","18350","75","18","15","16","3","37800","75600","334800","46800","15","false","true","true","complete-two-parts","core-candidate"
"1088","比翼鸟","金玉良缘","hutch","30","1000","6000","80","18","15","13","0","28800","57600","291600","28800","15","false","true","true","complete-two-parts","core-candidate"
"1089","七彩鹊","小彩鹊","hutch","20","14860","17890","73","18","15","16","3","43200","86400","374400","46800","15","false","true","true","complete-two-parts","core-candidate"
"1091","巨嘴鸟","小巨嘴鸟","hutch","32","18560","19100","82","18","15","10","3","43200","46800","226800","25200","15","false","true","true","complete-two-parts","core-candidate"
"1096","暖洋洋麋鹿","暖洋洋毛","hutch","30","18000","19000","80","18","15","12","3","28800","57600","291600","32400","15","true","true","false","complete-two-parts","excluded-hidden"
"1097","机器牛","小机器牛","hutch","36","18700","22000","100","18","15","14","3","18000","36000","259200","28800","15","true","true","true","complete-two-parts","excluded-hidden"
"1098","彩虹独角兽","彩虹马鬃","hutch","43","19000","26000","120","18","15","17","3","32400","64800","396000","39600","15","true","true","true","complete-two-parts","excluded-hidden"
"1497","北极熊","北极熊崽","hutch","60","5000","6060","35","39","16","24","3","37800","75600","237600","43200","15","false","true","true","complete-two-parts","core-candidate"
"1498","小花母猪","小花母猪崽","hutch","60","5000","6060","35","39","16","24","3","37800","75600","237600","43200","15","false","true","true","complete-two-parts","core-candidate"
"1499","孔雀","孔雀蛋","hutch","1","5000","6060","35","39","16","24","3","37800","75600","237600","43200","15","false","true","true","complete-two-parts","core-candidate"
"1501","羊","羊毛","shed","2","2000","2860","29","24","16","24","3","27000","54000","172800","43200","15","false","true","true","complete-two-parts","core-candidate"
"1502","牛","牛崽","shed","4","3000","4260","55","40","17","12","4","32400","64800","216000","43200","15","false","true","true","complete-two-parts","core-candidate"
"1503","猴子","猴子崽","shed","6","4000","5260","58","38","14","12","3","36000","72000","216000","36000","15","false","true","true","complete-two-parts","core-candidate"
"1504","袋鼠","袋鼠崽","shed","8","8000","9860","64","40","16","12","4","39600","79200","237600","43200","15","false","true","true","complete-two-parts","core-candidate"
"1505","梅花鹿","梅花鹿崽","shed","11","12000","13330","70","27","14","12","3","32400","64800","216000","36000","15","false","true","true","complete-two-parts","core-candidate"
"1507","羚羊","羚羊崽","shed","15","13470","15020","77","31","19","15","2","39600","79200","331200","50400","15","false","true","true","complete-two-parts","core-candidate"
"1508","鸵鸟","鸵鸟蛋","shed","19","14430","17610","79","33","21","17","2","43200","86400","432000","54000","15","false","true","true","complete-two-parts","core-candidate"
"1509","浣熊","浣熊崽","shed","23","15940","18120","73","35","13","16","2","36000","72000","345600","43200","15","false","true","true","complete-two-parts","core-candidate"
"1510","长颈鹿","长颈鹿崽","shed","16","13630","15110","77","33","18","16","3","39600","79200","327600","50400","15","false","true","true","complete-two-parts","core-candidate"
"1511","丹顶鹤","丹顶鹤崽","shed","25","16430","18350","75","30","13","16","3","37800","75600","334800","46800","15","false","true","true","complete-two-parts","core-candidate"
"1512","貔貅","红宝石","shed","50","30000","32000","100","30","14","20","0","57600","115200","810000","54000","15","false","true","true","complete-two-parts","core-candidate"
"1513","双峰驼","双峰驼崽","shed","26","16450","18660","76","31","16","18","3","32400","64800","403200","50400","15","false","true","true","complete-two-parts","core-candidate"
"1514","犀牛","犀牛崽","shed","27","16780","18880","77","31","17","19","3","28800","57600","432000","54000","15","false","true","true","complete-two-parts","core-candidate"
"1515","猩猩","猩猩崽","shed","29","17990","18930","79","13","10","13","3","30600","61200","259200","32400","15","false","true","true","complete-two-parts","core-candidate"
"1516","河马","河马崽","shed","30","18280","18950","80","10","10","13","3","28800","57600","291600","32400","15","false","true","true","complete-two-parts","core-candidate"
"1517","火烈鸟","火烈鸟崽","shed","31","18290","19090","81","9","8","11","3","23400","46800","259200","28800","15","false","true","true","complete-two-parts","core-candidate"
"1518","牦牛","牦牛毛","shed","20","14860","17890","73","30","17","16","3","41400","82800","374400","46800","15","false","true","true","complete-two-parts","core-candidate"
"1519","喜马拉雅麝","喜马拉雅麝","shed","35","18700","19350","85","12","11","16","3","28800","57600","324000","36000","15","false","true","true","complete-two-parts","core-candidate"
"1520","汗血宝马","汗血宝马崽","shed","37","18780","19480","88","13","8","13","3","32400","64800","259200","28800","15","false","true","true","complete-two-parts","core-candidate"
"1521","驴","驴仔","shed","4","1200","2200","20","28","8","15","2","18000","36000","108000","18000","15","false","true","true","complete-two-parts","core-candidate"
"1522","斑马","斑马崽","shed","33","18570","19150","82","3","5","13","3","18000","36000","291600","32400","15","false","true","true","complete-two-parts","core-candidate"
"1523","金丝猴","金丝猴崽","shed","38","18800","19600","89","3","5","9","3","21600","43200","216000","21600","15","false","true","true","complete-two-parts","core-candidate"
"1524","海狗","海狗崽","shed","41","19190","19960","92","12","10","16","3","21600","43200","360000","36000","15","false","true","true","complete-two-parts","core-candidate"
"1525","大象","大象崽","shed","43","19350","21000","94","15","12","18","3","32400","64800","396000","39600","15","false","true","true","complete-two-parts","core-candidate"
"1526","中美貘","中美貘崽","shed","39","18900","19750","90","10","10","15","3","18000","36000","360000","36000","15","false","true","true","complete-two-parts","core-candidate"
"1527","麒麟","金宝石","shed","60","38000","40000","135","10","10","28","4","39600","79200","691200","57600","15","false","true","true","complete-two-parts","core-candidate"
"1528","黄金宝宝","黄金宝宝崽","shed","10","11200","12100","69","27","14","12","2","28800","57600","216000","36000","15","false","true","true","complete-two-parts","core-candidate"
"1529","精灵包乐乐","乐乐崽","shed","10","11300","12150","70","10","10","13","2","27000","54000","237600","39600","15","false","true","true","complete-two-parts","core-candidate"
"1530","舒化奶牛","营养舒化奶","shed","2","2500","3000","30","27","15","22","2","28800","57600","180000","36000","15","false","true","true","complete-two-parts","core-candidate"
"1531","独角兽","蓝宝石","shed","70","37000","38000","120","10","10","16","0","86400","86400","705600","50400","15","false","true","true","complete-two-parts","core-candidate"
"1533","羊驼","羊驼崽","shed","45","19550","21140","96","10","11","18","3","32400","64800","360000","36000","15","false","true","true","complete-two-parts","core-candidate"
"1534","爱心天使","爱心果","shed","10","20550","12100","69","10","10","15","0","28800","57600","324000","36000","15","false","true","true","complete-two-parts","core-candidate"
"1535","靓靓驯鹿","圣诞铃铛","shed","6","4300","5000","59","16","12","7","2","28800","57600","201600","28800","15","true","true","true","complete-two-parts","excluded-hidden"
"1536","闪闪驯鹿","圣诞花环","shed","6","4300","5500","59","16","12","11","2","32400","64800","201600","28800","15","true","true","true","complete-two-parts","excluded-hidden"
"1537","万圣宝宝","南瓜头","shed","30","8800","7000","30","3","5","6","3","21600","43200","259200","32400","15","true","true","true","complete-two-parts","excluded-hidden"
"1538","肉羊","肉羊崽","shed","5","3800","125","57","16","12","12","2","28800","57600","230400","28800","15","false","true","true","complete-two-parts","core-candidate"
"1539","肉牛","肉牛崽","shed","6","4300","125","59","16","12","11","2","28800","57600","230400","28800","15","false","true","true","complete-two-parts","core-candidate"
"1540","短尾猫","短尾猫崽","shed","31","18290","19090","81","16","12","11","3","23400","46800","259200","28800","15","false","true","true","complete-two-parts","core-candidate"
"1541","酷酷驯鹿","圣诞雪花","shed","6","4300","5800","59","16","12","11","2","36000","72000","201600","28800","15","true","true","true","complete-two-parts","excluded-hidden"
"1542","寻仙鹿","流光溢彩","shed","10","11500","12190","70","16","12","6","2","21600","43200","216000","36000","15","false","true","true","complete-two-parts","core-candidate"
"1543","饕餮","紫火石","shed","54","44000","49000","143","16","12","24","4","396000","79200","655200","46800","15","true","true","true","complete-two-parts","excluded-hidden"
"1544","白鹭","白鹭崽","shed","13","13050","14820","72","16","12","14","2","36000","72000","302400","36000","15","true","true","true","complete-two-parts","excluded-hidden"
"1545","年兽","鸿福灯笼","shed","68","36500","50000","130","16","12","30","0","39600","79200","702000","46800","15","false","true","true","complete-two-parts","core-candidate"
"1546","金兔子","金元宝","shed","18","1200","1460","39","16","12","6","0","25200","50400","129600","43200","15","true","true","true","complete-two-parts","excluded-hidden"
"1547","狻猊","火焰石","shed","52","42000","45000","141","16","12","23","4","36000","72000","648000","43200","15","false","true","true","complete-two-parts","core-candidate"
"1548","狐猴","狐猴崽","shed","48","19800","21600","99","16","12","18","3","36000","72000","360000","36000","15","false","true","true","complete-two-parts","core-candidate"
"1549","奥卡狓","奥卡狓崽","shed","49","20000","21700","100","16","12","19","3","36000","72000","360000","36000","15","false","true","true","complete-two-parts","core-candidate"
"1550","瓜瓜猪","瓜瓜果","shed","18","14250","63","63","16","12","10","2","32400","64800","230400","28800","15","false","true","true","complete-two-parts","core-candidate"
"1551","辣辣狗","辣辣果","shed","14","13200","14910","73","16","12","14","2","37800","75600","302400","43200","15","false","true","true","complete-two-parts","core-candidate"
"1552","蒲牢","赤宝石","shed","56","46000","54000","145","16","12","27","4","43200","86400","810000","54000","15","false","true","true","complete-two-parts","core-candidate"
"1553","赑屃","绿松宝石","shed","58","48000","56000","147","16","12","30","4","46800","93600","921600","57600","15","false","true","true","complete-two-parts","core-candidate"
"1554","飞马","金玛瑙石","shed","50","900","48000","136","16","12","31","4","43200","86400","921600","43200","15","false","true","true","complete-two-parts","core-candidate"
"1555","白鹤","白鹤崽","shed","32","37440","19100","86","16","10","10","4","23400","46800","226800","25200","15","false","true","true","complete-two-parts","core-candidate"
"1556","鲸头鹳","鲸头鹳崽","shed","35","18700","19350","85","16","12","16","3","28800","57600","324000","36000","15","false","true","true","complete-two-parts","core-candidate"
"1557","囚牛","金松宝石","shed","54","44000","49000","143","24","24","24","4","39600","97200","655200","46800","15","false","true","true","complete-two-parts","core-candidate"
"1558","悠闲自在的葫芦妖","葫芦小妖","shed","25","16430","18260","72","16","15","16","0","37800","75600","334800","43200","15","false","true","true","complete-two-parts","core-candidate"
"1559","小坏坏的萝卜妖子","萝卜小妖","shed","25","16220","18350","70","16","15","16","0","37800","75600","334800","43200","15","false","true","true","complete-two-parts","core-candidate"
"1560","咩咩羊","羊宝宝","shed","10","11500","12190","70","16","12","12","2","21600","43200","216000","36000","15","false","true","true","complete-two-parts","core-candidate"
"1561","呼呼牛","牛宝宝","shed","20","14860","17890","73","16","12","16","3","41400","82800","374400","43200","15","false","true","true","complete-two-parts","core-candidate"
"1562","魔菇小妖","紫魔菇","shed","25","16220","18260","70","16","15","8","0","37800","75600","338400","43200","15","false","true","true","complete-two-parts","core-candidate"
"1563","食人花小妖","食人花妖仔","shed","25","16680","18650","75","16","15","8","0","37800","75600","342000","43200","15","false","true","true","complete-two-parts","core-candidate"
"1564","树小妖","树小妖","shed","25","16430","18350","72","16","15","8","0","37800","75600","33480","43200","15","false","true","true","complete-two-parts","core-candidate"
"1565","仙人掌小妖","仙人掌妖果","shed","25","16220","18350","75","16","15","13","3","37800","75600","338400","43200","15","false","false","false","missing","blocked-assets"
"1566","向日葵小妖","向日葵妖果","shed","25","16330","18250","73","16","15","16","3","32400","64800","324000","39600","15","false","true","true","complete-two-parts","core-candidate"
"1567","洋葱头小妖","洋葱头小妖","shed","25","16680","18650","75","16","15","8","0","37800","75600","342000","43200","15","false","true","true","complete-two-parts","core-candidate"
"1568","蚣蝮","蓝晶石","shed","50","900","48000","136","16","15","31","4","43200","86400","324000","43200","15","false","true","true","complete-two-parts","core-candidate"
"1571","应龙","白晶石","shed","63","40000","46000","140","16","12","31","0","46800","93600","910800","46800","15","false","true","true","complete-two-parts","core-candidate"
"1572","瑞狮","玉狮佩","shed","63","40000","46000","140","16","12","31","0","46800","93600","910800","46800","15","false","true","true","complete-two-parts","core-candidate"
"1575","火龙果小妖","火龙妖果","shed","25","16430","18350","75","13","12","13","3","37800","75600","334800","46800","15","false","true","true","complete-two-parts","core-candidate"
"1577","榴莲小妖","榴莲妖果","shed","25","16430","18350","75","16","12","16","3","37800","75600","342000","46800","15","false","true","true","complete-two-parts","core-candidate"
"1578","椰子小妖","椰子妖果","shed","25","16330","18250","73","16","12","16","3","32400","64800","324000","39600","15","false","true","true","complete-two-parts","core-candidate"
"1579","白泽","闪晶石","shed","60","39000","42000","136","28","12","28","4","43200","86400","720000","43200","15","false","true","true","complete-two-parts","core-candidate"
"1580","马蹄莲小妖","马蹄莲妖果","shed","25","16430","18350","75","13","12","13","3","37800","75600","334800","46800","15","false","true","true","complete-two-parts","core-candidate"
"1581","玫瑰小妖","玫瑰妖果","shed","25","16430","18350","75","13","12","13","3","37800","75600","334800","46800","15","false","true","true","complete-two-parts","core-candidate"
"1586","月光马","月光马羽","shed","57","47000","50000","146","24","12","24","4","45000","90000","795600","46800","15","false","true","true","complete-two-parts","core-candidate"
"1588","爱情小羊","爱情符","shed","10","2000","3000","30","20","12","20","3","27000","54000","172800","43200","15","false","true","true","complete-two-parts","core-candidate"
"1589","财富小羊","财富符","shed","10","2000","3000","30","20","12","20","3","27000","54000","172800","43200","15","false","true","true","complete-two-parts","core-candidate"
"1590","灵性小羊","灵性符","shed","10","2000","3000","30","20","12","20","3","27000","54000","172800","43200","15","false","true","true","complete-two-parts","core-candidate"
"1591","事业小羊","事业符","shed","10","2000","3000","30","20","12","20","3","27000","54000","172800","43200","15","false","true","true","complete-two-parts","core-candidate"
"1592","学业小羊","学业符","shed","10","2000","3000","30","20","12","20","3","27000","54000","172800","43200","15","false","true","true","complete-two-parts","core-candidate"
"1593","南瓜派小熊","南瓜派","shed","18","14200","12000","65","20","12","12","5","32400","64800","316800","39600","15","true","true","true","complete-two-parts","excluded-hidden"
"1598","巨角龙","巨角龙崽","shed","33","18500","20000","90","20","12","13","3","18000","36000","291600","32400","15","true","true","true","complete-two-parts","excluded-hidden"
"1599","爱心驴","情果","shed","5","1999","39999","199","19","12","19","1","28800","57600","216000","32400","15","false","true","true","complete-two-parts","core-candidate"
"1600","冰龙","冰龙崽","shed","47","19500","27000","130","20","12","18","3","36000","72000","360000","36000","15","true","true","true","complete-two-parts","excluded-hidden"
"1601","暴龙","暴龙崽","shed","39","18900","25000","110","20","12","15","3","18000","36000","360000","36000","15","true","true","true","complete-two-parts","excluded-hidden"
"6291","长颈龙","长颈龙宝宝","shed","56","46000","54000","145","16","12","27","4","43200","86400","810000","54000","15","false","true","true","complete-two-parts","core-candidate"
"6292","熊猫","熊猫宝宝","shed","59","50000","58000","149","32","16","32","4","36000","72000","648000","43200","15","false","true","true","complete-two-parts","core-candidate"
"6293","辟火神兽","五星黄钻","shed","80","430000","60000","160","40","14","40","4","45000","90000","795600","46800","15","false","true","true","complete-two-parts","core-candidate"
"6294","老虎","老虎崽","shed","51","39150","46980","145","28","12","27","3","34200","68400","316800","39600","15","false","true","true","complete-two-parts","core-candidate"
