"review_key","category","source_file","contact_sheet","mapped_entries","rendered_entries","empty_outline_entries","non_drawable_entries","render_errors","action_effect_candidates","automated_status","visual_review_status","visual_review_note"
"module/nc/flower/2.swf","farm-flower","module/nc/flower/2.swf","contact-sheets/interface-media/media-nc__flower__2.swf.png","1","1","0","0","0","0","ready-for-visual-review","reviewed-ok","SWF 花束与同号 GIF 商店预览语义一致"
"module/nc/flower/3.swf","farm-flower","module/nc/flower/3.swf","contact-sheets/interface-media/media-nc__flower__3.swf.png","1","1","0","0","0","0","ready-for-visual-review","reviewed-ok","SWF 花束与同号 GIF 商店预览语义一致"
"module/nc/flower/4.swf","farm-flower","module/nc/flower/4.swf","contact-sheets/interface-media/media-nc__flower__4.swf.png","1","1","0","0","0","0","ready-for-visual-review","reviewed-ok","SWF 花束与同号 GIF 商店预览语义一致"
"module/nc/flower/5.swf","farm-flower","module/nc/flower/5.swf","contact-sheets/interface-media/media-nc__flower__5.swf.png","1","1","0","0","0","0","ready-for-visual-review","reviewed-ok","SWF 花束与同号 GIF 商店预览语义一致"
"module/nc/flower/6.swf","farm-flower","module/nc/flower/6.swf","contact-sheets/interface-media/media-nc__flower__6.swf.png","1","1","0","0","0","0","ready-for-visual-review","reviewed-ok","SWF 花束与同号 GIF 商店预览语义一致"
"module/nc/flower/7.swf","farm-flower","module/nc/flower/7.swf","contact-sheets/interface-media/media-nc__flower__7.swf.png","1","1","0","0","0","0","ready-for-visual-review","reviewed-ok","SWF 花束与同号 GIF 商店预览语义一致"
"module/nc/flower/8.swf","farm-flower","module/nc/flower/8.swf","contact-sheets/interface-media/media-nc__flower__8.swf.png","1","1","0","0","0","0","ready-for-visual-review","reviewed-ok","SWF 花束与同号 GIF 商店预览语义一致"
"module/nc/flower/9.swf","farm-flower","module/nc/flower/9.swf","contact-sheets/interface-media/media-nc__flower__9.swf.png","1","1","0","0","0","0","ready-for-visual-review","reviewed-ok","SWF 花束与同号 GIF 商店预览语义一致"
"module/nc/main/commonui_v_4.swf","farm-ui","module/nc/main/commonui_v_4.swf","contact-sheets/interface-media/media-nc__main__commonui_v_4.swf.png","38","35","3","0","0","0","ready-for-visual-review","reviewed-with-note","35 个可见通用 UI 角色完整；Level_mc、List_Next_End 和根舞台为空，List_UI 已由 JPEXS 回退导出"
"module/nc/main/farmui1_v_12.swf","farm-ui","module/nc/main/farmui1_v_12.swf","contact-sheets/interface-media/media-nc__main__farmui1_v_12.swf.png","113","109","4","0","0","13","ready-for-visual-review","reviewed-with-note","109 个可见 UI/动作角色完整；GoldB、Dog2、FDog2 和根舞台为空，WarehouseForm 已由 JPEXS 回退导出"
"module/nc/main/farmui2_v_4.swf","farm-ui","module/nc/main/farmui2_v_4.swf","contact-sheets/interface-media/media-nc__main__farmui2_v_4.swf.png","15","14","1","0","0","0","ready-for-visual-review","reviewed-ok","14 个农田、图标和错误页角色完整；根舞台为空符合素材库结构"
"module/nc/main/NPC3.swf","farm-ui","module/nc/main/NPC3.swf","contact-sheets/interface-media/media-nc__main__NPC3.swf.png","2","1","1","0","0","0","ready-for-visual-review","reviewed-ok","NPC 两帧角色完整；根舞台为空符合素材库结构"
"module/nc/main/outswf/help.swf","farm-ui","module/nc/main/outswf/help.swf","contact-sheets/interface-media/media-nc__main__outswf__help.swf.png","6","6","0","0","0","0","ready-for-visual-review","reviewed-ok","根帮助页及5个分页均经 JPEXS 回退完整导出"
"module/nc/main/task.swf","farm-ui","module/nc/main/task.swf","contact-sheets/interface-media/media-nc__main__task.swf.png","14","13","1","0","0","0","ready-for-visual-review","reviewed-ok","13 个任务说明和按钮角色完整；根舞台为空符合素材库结构"
"module/loading_v_13.swf","other","module/loading_v_13.swf","contact-sheets/interface-media/media-loading_v_13.swf.png","3","3","0","0","0","0","ready-for-visual-review","reviewed-ok","加载根舞台、进度条和100帧太阳动画均完整"
"module/mc/Master_v_27.swf","other","module/mc/Master_v_27.swf","contact-sheets/interface-media/media-mc__Master_v_27.swf.png","37","35","1","1","0","0","ready-for-visual-review","reviewed-with-note","35 个可见运行时外壳角色完整；根舞台为空，_-Fu 为不可视二进制数据"
"module/nc/Main_v_42.swf","other","module/nc/Main_v_42.swf","contact-sheets/interface-media/media-nc__Main_v_42.swf.png","43","41","1","1","0","0","ready-for-visual-review","reviewed-with-note","41 个可见运行时外壳角色完整；根舞台为空，VersionUtil_versionXml 为不可视二进制数据"
"module/qqfarm.swf","other","module/qqfarm.swf","contact-sheets/interface-media/media-qqfarm.swf.png","1","0","1","0","0","0","no-rendered-visual","reviewed-with-note","入口 SWF 仅承担加载外壳且没有可见首帧或导出角色，不作为图片素材"
"module/mc/main/commonui_v_5.swf","pasture-ui","module/mc/main/commonui_v_5.swf","contact-sheets/interface-media/media-mc__main__commonui_v_5.swf.png","38","36","2","0","0","0","ready-for-visual-review","reviewed-with-note","36 个可见通用 UI 角色完整；Level_mc 和根舞台为空，List_UI 已由 JPEXS 回退导出"
"module/mc/main/farmui1_v_12.swf","pasture-ui","module/mc/main/farmui1_v_12.swf","contact-sheets/interface-media/media-mc__main__farmui1_v_12.swf.png","123","121","2","0","0","7","ready-for-visual-review","reviewed-with-note","121 个可见 UI/动作角色完整；GoldB 和根舞台为空，WhistleList、WarehouseForm 已由 JPEXS 回退导出"
"module/mc/main/farmui2_v_5.swf","pasture-ui","module/mc/main/farmui2_v_5.swf","contact-sheets/interface-media/media-mc__main__farmui2_v_5.swf.png","35","34","1","0","0","0","ready-for-visual-review","reviewed-ok","34 个牧场事件、升级建筑和控件角色完整；根舞台为空符合素材库结构"
"module/mc/main/outswf/help.swf","pasture-ui","module/mc/main/outswf/help.swf","contact-sheets/interface-media/media-mc__main__outswf__help.swf.png","9","9","0","0","0","0","ready-for-visual-review","reviewed-ok","根帮助页及8个分页/控件均经 JPEXS 回退完整导出"
"module/mc/main/shopui_v_2.swf","pasture-ui","module/mc/main/shopui_v_2.swf","contact-sheets/interface-media/media-mc__main__shopui_v_2.swf.png","77","76","1","0","0","0","ready-for-visual-review","reviewed-ok","76 个基础动物、产物和商店角色完整；根舞台为空符合素材库结构"
"module/mc/main/shopui2_v_9.swf","pasture-ui","module/mc/main/shopui2_v_9.swf","contact-sheets/interface-media/media-mc__main__shopui2_v_9.swf.png","81","80","1","0","0","0","ready-for-visual-review","reviewed-ok","80 个中段动物、产物和商店角色完整；根舞台为空符合素材库结构"
"module/mc/main/shopui3_v_8.swf","pasture-ui","module/mc/main/shopui3_v_8.swf","contact-sheets/interface-media/media-mc__main__shopui3_v_8.swf.png","101","98","3","0","0","0","ready-for-visual-review","reviewed-with-note","98 个后段动物、产物和商店角色完整；两个 Timeline 容器和根舞台为空，属于运行时占位"
"module/mc/main/task.swf","pasture-ui","module/mc/main/task.swf","contact-sheets/interface-media/media-mc__main__task.swf.png","17","16","1","0","0","0","ready-for-visual-review","reviewed-ok","16 个牧场任务说明、图标和按钮角色完整；根舞台为空符合素材库结构"
"module/mc/main/upgrade_v_1.swf","pasture-ui","module/mc/main/upgrade_v_1.swf","contact-sheets/interface-media/media-mc__main__upgrade_v_1.swf.png","3","2","1","0","0","0","ready-for-visual-review","reviewed-ok","两个114帧升级角色完整；根舞台为空符合素材库结构"
"farm-decoration-board","farm-decoration-board","module/nc/farm/diy/board/*.png","contact-sheets/interface-media/media-farm-decoration-board.png","15","15","0","0","0","0","ready-for-visual-review","reviewed-ok","15 张留言板 PNG 均完整可读；Thumbs.db 仅登记元数据"
