"source_id","name","source_character_id","symbol_class","role_kind","runtime_status"
"1504","袋鼠","173","a1504_fla.Kangaroo_52","internal-helper",""
"1504","袋鼠","170","Animal_1504_6","runtime-state","6"
"1504","袋鼠","158","a1504_fla.Kangaroo_75","internal-helper",""
"1504","袋鼠","138","a1504_fla.Kangaroo_72","internal-helper",""
"1504","袋鼠","127","Animal_1504_3","runtime-state","3"
"1504","袋鼠","126","a1504_fla.Timeline_116","internal-helper",""
"1504","袋鼠","83","a1504_fla.Kangaroo_98","internal-helper",""
"1504","袋鼠","81","a1504_fla.Kangaroo_83","internal-helper",""
"1504","袋鼠","48","Animal_1504_4","runtime-state","4"
"1006","企鹅","132","Animal_1006_3","runtime-state","3"
"1006","企鹅","131","a1006_fla.3_17","internal-helper",""
"1006","企鹅","105","Animal_1006_5","runtime-state","5"
"1006","企鹅","100","Animal_1006_6","runtime-state","6"
"1006","企鹅","88","Animal_1006_2","runtime-state","2"
"1006","企鹅","65","Animal_1006_1","runtime-state","1"
"1006","企鹅","23","Animal_1006_4","runtime-state","4"
