"source_id","name","current_id","current_stage","current_stage_name","linked_state_index","linked_state_key","linked_state_label","source_character_id","source_relationship","source_export_file","source_sha256","source_hash_match_count","source_hash_matching_character_ids","current_asset","current_sha256","match_status","visual_review_status"
"60","水稻","rice","2","growing","4","pre_mature","成熟前","44","state-character","Crop_60.swf/DefineSprite_44/1.png","8e085a8b84400fd27711eedb90c606803eaf5e45100dcac27f31a8de043be945","1","44","assets/manor/classic/crop-rice-2.png","8e085a8b84400fd27711eedb90c606803eaf5e45100dcac27f31a8de043be945","exact","reviewed-ok"
"60","水稻","rice","3","mature","5","mature","成熟","62","state-character","Crop_60.swf/DefineSprite_62/1.png","32b4303f67b5c8ee208250d6fa9d069923221897377c6618d9b6e7f2d194ef3d","1","62","assets/manor/classic/crop-rice-3.png","32b4303f67b5c8ee208250d6fa9d069923221897377c6618d9b6e7f2d194ef3d","exact","reviewed-ok"
"61","小麦","wheat","0","seed","0","seed","种子","2","state-character","Crop_61.swf/DefineSprite_2/1.png","db64a2423bcb9185ca003d386c22654cd570c0c817515db055cea33e28d4a10e","1","2","assets/manor/classic/crop-wheat-0.png","db64a2423bcb9185ca003d386c22654cd570c0c817515db055cea33e28d4a10e","exact","reviewed-ok"
"61","小麦","wheat","1","sprout","1","sprout","发芽","4","state-character","Crop_61.swf/DefineSprite_4/1.png","ea1fcce785ce53a295ece236d1b5e9451c20b829f374b65093f9f962e73d8e18","1","4","assets/manor/classic/crop-wheat-1.png","ea1fcce785ce53a295ece236d1b5e9451c20b829f374b65093f9f962e73d8e18","exact","reviewed-ok"
"61","小麦","wheat","2","growing","4","pre_mature","成熟前","22","state-character","Crop_61.swf/DefineSprite_22/1.png","64ccec6890faf8f6b6d3b8ed26920a2a6f93b271680f4d1b9d72495380347fb3","1","22","assets/manor/classic/crop-wheat-2.png","64ccec6890faf8f6b6d3b8ed26920a2a6f93b271680f4d1b9d72495380347fb3","exact","reviewed-ok"
"61","小麦","wheat","3","mature","5","mature","成熟","36","state-character","Crop_61.swf/DefineSprite_36/1.png","1ae5e82ba0c33c20fdeb7dcb441267047fe37c591a450dec3c2eaba50ab2bc2e","1","36","assets/manor/classic/crop-wheat-3.png","1ae5e82ba0c33c20fdeb7dcb441267047fe37c591a450dec3c2eaba50ab2bc2e","exact","reviewed-ok"
"4","玉米","corn","0","seed","0","seed","种子","2","state-character","Crop_4.swf/DefineSprite_2/1.png","1e75b2a99aeaa14220763d25acf65fa0ff908743b2b909b7502163ac656336ca","1","2","assets/manor/classic/crop-corn-0.png","1e75b2a99aeaa14220763d25acf65fa0ff908743b2b909b7502163ac656336ca","exact","reviewed-ok"
"4","玉米","corn","1","sprout","1","sprout","发芽","4","state-character","Crop_4.swf/DefineSprite_4/1.png","bb94d861aede00382736e4557e56ffa5b81e22214438b2b8c074c58c941110b1","1","4","assets/manor/classic/crop-corn-1.png","bb94d861aede00382736e4557e56ffa5b81e22214438b2b8c074c58c941110b1","exact","reviewed-ok"
"4","玉米","corn","2","growing","3","growing","生长","8","state-character","Crop_4.swf/DefineSprite_8/1.png","b8a4953ba55775c10f33be2f96d0cd092c351a75aff1ec0319d463fa9d294f08","1","8","assets/manor/classic/crop-corn-2.png","b8a4953ba55775c10f33be2f96d0cd092c351a75aff1ec0319d463fa9d294f08","exact","reviewed-ok"
"4","玉米","corn","3","mature","5","mature","成熟","12","state-character","Crop_4.swf/DefineSprite_12/1.png","84c3544931ba6b518f5e7fc78930c3da53b740e9a84675c6e276dbbdf173ddfd","1","12","assets/manor/classic/crop-corn-3.png","84c3544931ba6b518f5e7fc78930c3da53b740e9a84675c6e276dbbdf173ddfd","exact","reviewed-ok"
"5","土豆","potato","0","seed","0","seed","种子","2","state-character","Crop_5.swf/DefineSprite_2/1.png","1e75b2a99aeaa14220763d25acf65fa0ff908743b2b909b7502163ac656336ca","1","2","assets/manor/classic/crop-potato-0.png","1e75b2a99aeaa14220763d25acf65fa0ff908743b2b909b7502163ac656336ca","exact","reviewed-ok"
"5","土豆","potato","1","sprout","1","sprout","发芽","4","state-character","Crop_5.swf/DefineSprite_4/1.png","bbf78a84c873f5cb12a762402b4f6186c51a374044e100cf1f510a3b8c0bb736","1","4","assets/manor/classic/crop-potato-1.png","bbf78a84c873f5cb12a762402b4f6186c51a374044e100cf1f510a3b8c0bb736","exact","reviewed-ok"
"5","土豆","potato","2","growing","3","growing","生长","16","state-character","Crop_5.swf/DefineSprite_16/1.png","cf76157caa98d19243a27596be6dac9a81d16b1d2caa45e0e2719160c1014d0b","1","16","assets/manor/classic/crop-potato-2.png","cf76157caa98d19243a27596be6dac9a81d16b1d2caa45e0e2719160c1014d0b","exact","reviewed-ok"
"5","土豆","potato","3","mature","5","mature","成熟","23","state-character","Crop_5.swf/DefineSprite_23/1.png","87fc5023c31a4e1bba104506c70151481fb9179c1d7796521907c0d7c7cff394","1","23","assets/manor/classic/crop-potato-3.png","87fc5023c31a4e1bba104506c70151481fb9179c1d7796521907c0d7c7cff394","exact","reviewed-ok"
"6","茄子","eggplant","0","seed","0","seed","种子","2","state-character","Crop_6.swf/DefineSprite_2/1.png","a77859d654afa00395552a1090d7fec9dbebb7561894ee3357108e9896f90351","1","2","assets/manor/classic/crop-eggplant-0.png","a77859d654afa00395552a1090d7fec9dbebb7561894ee3357108e9896f90351","exact","reviewed-ok"
"6","茄子","eggplant","1","sprout","1","sprout","发芽","4","state-character","Crop_6.swf/DefineSprite_4/1.png","70fd6a8060191500e7c640fdb3eb952c58c0a668379d69d92eaa5992270a082a","1","4","assets/manor/classic/crop-eggplant-1.png","70fd6a8060191500e7c640fdb3eb952c58c0a668379d69d92eaa5992270a082a","exact","reviewed-ok"
"6","茄子","eggplant","2","growing","3","growing","生长","10","state-character","Crop_6.swf/DefineSprite_10/1.png","38a677391480bcc5141ba74d5a498c3cc87584e60c642cd326f8e712291f3c17","1","10","assets/manor/classic/crop-eggplant-2.png","38a677391480bcc5141ba74d5a498c3cc87584e60c642cd326f8e712291f3c17","exact","reviewed-ok"
"6","茄子","eggplant","3","mature","5","mature","成熟","16","state-character","Crop_6.swf/DefineSprite_16/1.png","923fed7401e4418b3a035e0e69ba6f8d7f3b74ed49f714d32b3d15b5186d18a7","1","16","assets/manor/classic/crop-eggplant-3.png","923fed7401e4418b3a035e0e69ba6f8d7f3b74ed49f714d32b3d15b5186d18a7","exact","reviewed-ok"
"7","番茄","tomato","0","seed","0","seed","种子","2","state-character","Crop_7.swf/DefineSprite_2/1.png","1e75b2a99aeaa14220763d25acf65fa0ff908743b2b909b7502163ac656336ca","1","2","assets/manor/classic/crop-tomato-0.png","1e75b2a99aeaa14220763d25acf65fa0ff908743b2b909b7502163ac656336ca","exact","reviewed-ok"
"7","番茄","tomato","1","sprout","1","sprout","发芽","4","state-character","Crop_7.swf/DefineSprite_4/1.png","9151f63ee822e45726e100b2b71f698686fda8239df46dce873e3d7ca2cafc01","1","4","assets/manor/classic/crop-tomato-1.png","9151f63ee822e45726e100b2b71f698686fda8239df46dce873e3d7ca2cafc01","exact","reviewed-ok"
"7","番茄","tomato","2","growing","3","growing","生长","9","state-character","Crop_7.swf/DefineSprite_9/1.png","51d6917fc1503bdff11bd7677d096d3ced80638adbc126935dfcf7272c1d8485","1","9","assets/manor/classic/crop-tomato-2.png","51d6917fc1503bdff11bd7677d096d3ced80638adbc126935dfcf7272c1d8485","exact","reviewed-ok"
"7","番茄","tomato","3","mature","5","mature","成熟","17","state-character","Crop_7.swf/DefineSprite_17/1.png","7142f2a8c3727bc57e27766c7dda9857c98bbf3370e0888e68be8d1028355e4a","1","17","assets/manor/classic/crop-tomato-3.png","7142f2a8c3727bc57e27766c7dda9857c98bbf3370e0888e68be8d1028355e4a","exact","reviewed-ok"
"8","豌豆","pea","0","seed","0","seed","种子","2","state-character","Crop_8.swf/DefineSprite_2/1.png","1e75b2a99aeaa14220763d25acf65fa0ff908743b2b909b7502163ac656336ca","1","2","assets/manor/classic/crop-pea-0.png","1e75b2a99aeaa14220763d25acf65fa0ff908743b2b909b7502163ac656336ca","exact","reviewed-ok"
"8","豌豆","pea","1","sprout","1","sprout","发芽","4","state-character","Crop_8.swf/DefineSprite_4/1.png","b58b7c5d913064aad32e3ab3ba7dc6d21002de9e5f471166ed3ed46c44204419","1","4","assets/manor/classic/crop-pea-1.png","b58b7c5d913064aad32e3ab3ba7dc6d21002de9e5f471166ed3ed46c44204419","exact","reviewed-ok"
"8","豌豆","pea","2","growing","3","growing","生长","8","state-character","Crop_8.swf/DefineSprite_8/1.png","d28e3d2201c608c40c555133426efc2d7d332283865939f35a30372938251da3","1","8","assets/manor/classic/crop-pea-2.png","d28e3d2201c608c40c555133426efc2d7d332283865939f35a30372938251da3","exact","reviewed-ok"
"8","豌豆","pea","3","mature","5","mature","成熟","12","state-character","Crop_8.swf/DefineSprite_12/1.png","0b7fc03c058db9330b0e64828190e20f46adbfcb5e53555f13dfa359d477a006","1","12","assets/manor/classic/crop-pea-3.png","0b7fc03c058db9330b0e64828190e20f46adbfcb5e53555f13dfa359d477a006","exact","reviewed-ok"
"9","辣椒","chili","0","seed","0","seed","种子","2","state-character","Crop_9.swf/DefineSprite_2/1.png","db64a2423bcb9185ca003d386c22654cd570c0c817515db055cea33e28d4a10e","1","2","assets/manor/classic/crop-chili-0.png","db64a2423bcb9185ca003d386c22654cd570c0c817515db055cea33e28d4a10e","exact","reviewed-ok"
"9","辣椒","chili","1","sprout","1","sprout","发芽","4","state-character","Crop_9.swf/DefineSprite_4/1.png","dfda7c2d9e4d852b8276403c323de905900ecf8c0a30bcbe4db57f9aef85b4ff","1","4","assets/manor/classic/crop-chili-1.png","dfda7c2d9e4d852b8276403c323de905900ecf8c0a30bcbe4db57f9aef85b4ff","exact","reviewed-ok"
"9","辣椒","chili","2","growing","3","growing","生长","14","state-character","Crop_9.swf/DefineSprite_14/1.png","bc0c856bf26cc49d09eee67bd611d582ea597f0b289e0d98718a3a7c97f0de89","1","14","assets/manor/classic/crop-chili-2.png","bc0c856bf26cc49d09eee67bd611d582ea597f0b289e0d98718a3a7c97f0de89","exact","reviewed-ok"
"9","辣椒","chili","3","mature","5","mature","成熟","20","state-character","Crop_9.swf/DefineSprite_20/1.png","09b56b4e68c807406fa7b7b875ea296969b49401f229928e7485f20ba9014481","1","20","assets/manor/classic/crop-chili-3.png","09b56b4e68c807406fa7b7b875ea296969b49401f229928e7485f20ba9014481","exact","reviewed-ok"
"10","南瓜","pumpkin","0","seed","0","seed","种子","2","state-character","Crop_10.swf/DefineSprite_2/1.png","1e75b2a99aeaa14220763d25acf65fa0ff908743b2b909b7502163ac656336ca","1","2","assets/manor/classic/crop-pumpkin-0.png","1e75b2a99aeaa14220763d25acf65fa0ff908743b2b909b7502163ac656336ca","exact","reviewed-ok"
"10","南瓜","pumpkin","1","sprout","1","sprout","发芽","4","state-character","Crop_10.swf/DefineSprite_4/1.png","86b0c43fc1f39ad3c712c954ca58a0a543183bc316ba14ede9bb7976111ed805","1","4","assets/manor/classic/crop-pumpkin-1.png","86b0c43fc1f39ad3c712c954ca58a0a543183bc316ba14ede9bb7976111ed805","exact","reviewed-ok"
"10","南瓜","pumpkin","2","growing","3","growing","生长","8","state-character","Crop_10.swf/DefineSprite_8/1.png","2c393de9aa354f7858e1880b812ae7ddec71702cac1b69f6edcf3869cb1402bb","1","8","assets/manor/classic/crop-pumpkin-2.png","2c393de9aa354f7858e1880b812ae7ddec71702cac1b69f6edcf3869cb1402bb","exact","reviewed-ok"
"10","南瓜","pumpkin","3","mature","5","mature","成熟","12","state-character","Crop_10.swf/DefineSprite_12/1.png","d6c82361d834a914a19edd545c3de270e7aadd2c9da731b9d46fea3d1f5258cb","1","12","assets/manor/classic/crop-pumpkin-3.png","d6c82361d834a914a19edd545c3de270e7aadd2c9da731b9d46fea3d1f5258cb","exact","reviewed-ok"
