"source_id","name","original_level","purchase_price","product_price","byproduct_price","base_yield","consume","cub_seconds","maturity_seconds","production_seconds","source_swf","source_bytes","source_sha256","primary_class","primary_sprite_id","symbol_classes","swf_parse_error","processing_status"
"1007","乌龟","10","11000","12000","69","12","3","27000","54000","216000","module/mc/main/animal/a1007.swf","83475","f5aaa79c4ab96413e102a4505e2557ebd36fdfc7208025be5e737ee305374d09","Animal_1007_3","132","132:Animal_1007_3,131:a1007_fla.Turtle_17,125:a1007_fla.Turtle_20,107:Animal_1007_5,103:Animal_1007_6,102:a1007_fla.Turtle_32,98:a1007_fla.Turtle_31,97:a1007_fla.Turtle_28,88:Animal_1007_2,75:Animal_1007_1,30:Animal_1007_4",,"mapped-not-extracted"
"1017","炫舞龟","10","11500","12190","70","12","2","21600","43200","216000","module/mc/main/animal/a1017.swf","33761","63b7c8bbd53a9c0b635e92dc230d404a188dca248d0b857dc8edbd1ad836170a","Animal_1017_1","113","113:Animal_1017_1,84:Animal_1017_2,80:Animal_1017_5,71:Animal_1017_3,68:a1017_fla.Timeline_22,45:Animal_1017_6,10:Animal_1017_4",,"mapped-not-extracted"
"1505","梅花鹿","11","12000","13330","70","12","3","32400","64800","216000","module/mc/main/animal/a1505.swf","57053","99dbc4ba20460ae40211a493ced32a0485a05fe2981e08222d1d063ceffd5cf7","Animal_1505_6","226","226:Animal_1505_6,208:Animal_1505_3,207:a1505_fla.deer_42,165:Animal_1505_4,156:Animal_1505_5,134:Animal_1505_2,66:Animal_1505_1",,"mapped-not-extracted"
"1008","松鼠","12","12640","14570","71","13","4","36000","72000","288000","module/mc/main/animal/a1008.swf","44405","f235b467734b9cc572bdddac99a08ebf44c534ac69eee8a3bf5d61a5c6be8aa2","Animal_1008_3","238","238:Animal_1008_3,237:a1008_fla.SONGSHUFENCENGXIANshenbvchan_34,211:Animal_1008_5,195:Animal_1008_6,155:Animal_1008_2,103:Animal_1008_1,31:Animal_1008_4",,"mapped-not-extracted"
"1009","波斯猫","13","13000","14790","72","14","4","37800","75600","302400","module/mc/main/animal/a1009.swf","83685","8f57ce585a119a344ea2643752db881bc418406572d910e0bba6459e39e21c7c","Animal_1009_1","143","143:Animal_1009_1,117:Animal_1009_2,81:Animal_1009_6,71:Animal_1009_5,64:Animal_1009_3,62:a1009_fla.Timeline_49,16:Animal_1009_4",,"mapped-not-extracted"
"1012","鸭","14","13200","14910","73","14","3","37800","75600","302400","module/mc/main/animal/a1012.swf","23801","35effb060bd8fb1e2a467177a68adab1c465116e6ef69dcbbc175262e4c51374","Animal_1012_6","95","95:Animal_1012_6,90:Animal_1012_3,89:a1012_fla.yz_9,78:Animal_1012_4,75:Animal_1012_5,58:Animal_1012_2,14:Animal_1012_1",,"mapped-not-extracted"
"1015","乌骨鸡","14","13100","14890","72","12","2","32400","64800","270000","module/mc/main/animal/a1015.swf","30554","d7bfca00643862013d293f1fb85cd02a6a4fb124229fbd2e54350f332b829c34","Animal_1015_6","102","102:Animal_1015_6,88:Animal_1015_1,77:Animal_1015_2,66:Animal_1015_3,65:a1015_fla.wj_22,41:Animal_1015_4,38:Animal_1015_5",,"mapped-not-extracted"
"1507","羚羊","15","13470","15020","77","15","2","39600","79200","331200","module/mc/main/animal/a1507.swf","66269","9d07824ca19d007b7852d23c6c9901ac85773a312868372d896f3091730102cb","Animal_1507_4","235","235:Animal_1507_4,233:Animal_1507_6,226:Animal_1507_3,225:a1507_fla.ly_113,196:Animal_1507_5,144:Animal_1507_2,85:Animal_1507_1",,"mapped-not-extracted"
"1510","长颈鹿","16","13630","15110","77","16","3","39600","79200","327600","module/mc/main/animal/a1510.swf","83394","3a91f59d5c3d3f76f2ca4cf1735c3b633ce0fb7093c3f3bc3efcea1defc3313d","Animal_1510_4","285","285:Animal_1510_4,283:Animal_1510_6,275:Animal_1510_3,269:a1510_fla.Timeline_36,252:Animal_1510_5,165:Animal_1510_2,94:Animal_1510_1",,"mapped-not-extracted"
"1010","仓鼠","17","14100","16940","78","16","2","41400","82800","403200","module/mc/main/animal/a1010.swf","88282","d4ebfb19f3300835469f39543d8765302e4bf36450d321e5329427994c2196e8","Animal_1010_1","189","189:Animal_1010_1,185:Animal_1010_2,157:Animal_1010_5,147:Animal_1010_3,146:a1010_fla.r_74,118:Animal_1010_6,36:Animal_1010_4",,"mapped-not-extracted"
"1013","鼹鼠","18","14200","17030","78","16","3","37800","75600","403200","module/mc/main/animal/a1013.swf","25698","782543409e2279faacbd5b8d41167b165d6b437ffa5f5d28e1ad44012a62c756","Animal_1013_4","95","95:Animal_1013_4,93:Animal_1013_1,71:Animal_1013_2,70:Animal_1013_3,69:a1013_fla.czggzh_23,49:Animal_1013_5,37:Animal_1013_6",,"mapped-not-extracted"
"1508","鸵鸟","19","14430","17610","79","17","2","43200","86400","432000","module/mc/main/animal/a1508.swf","73357","6c95011da5b329f1afbc512a4854a011eec63467eafac249280a60f62d0d3e5b","Animal_1508_1","166","166:Animal_1508_1,155:Animal_1508_2,138:Animal_1508_5,120:Animal_1508_3,119:a1508_fla.o_42,90:Animal_1508_6,31:Animal_1508_4",,"mapped-not-extracted"
"1011","刺猬","21","15230","18000","72","15","2","36000","72000","345600","module/mc/main/animal/a1011.swf","74623","c32ec46ab78056bbb61780a47616a99332495e64609b73e07c547ec1a0fb25ac","Animal_1011_6","152","152:Animal_1011_6,140:Animal_1011_5,130:Animal_1011_4,127:Animal_1011_3,126:a1011_fla.Timeline_21,55:Animal_1011_2,47:Animal_1011_1",,"mapped-not-extracted"
"1014","挪威森林猫","22","15550","18100","73","16","3","43200","86400","345600","module/mc/main/animal/a1014.swf","46905","db5274b7ec2b2e5122fa1482f0248da732a8e78dbdb701423eec93732c53ef34","Animal_1014_6","141","141:Animal_1014_6,131:Animal_1014_5,127:Animal_1014_3,126:a1014_fla.Timeline_63,97:Animal_1014_2,92:Animal_1014_1,38:Animal_1014_4",,"mapped-not-extracted"
"1509","浣熊","23","15940","18120","73","16","2","36000","72000","345600","module/mc/main/animal/a1509.swf","92610","21faa2b445db838d4f989ee71ee59cb0f76843280610b47329bc20d938821711","Animal_1509_1","206","206:Animal_1509_1,178:Animal_1509_2,123:Animal_1509_3,122:a1509_fla.hx_73,99:Animal_1509_4,95:Animal_1509_5,90:Animal_1509_6",,"mapped-not-extracted"
"1016","美国短毛猫","24","16300","18210","74","15","3","34200","68400","316800","module/mc/main/animal/a1016.swf","42243","390260bcb4b367fed0dac7872b569c48e875d7cdb93396de56ece5d44eaf3bdf","Animal_1016_6","94","94:Animal_1016_6,86:Animal_1016_5,82:Animal_1016_3,81:a1016_fla.mao_15,66:Animal_1016_2,54:Animal_1016_1,13:Animal_1016_4",,"mapped-not-extracted"
"1511","丹顶鹤","25","16430","18350","75","16","3","37800","75600","334800","module/mc/main/animal/a1511.swf","35891","82ddbdeb0cb4277ddbbbfa656622fcf2d73fdc8b09f521a4b6ffd77aab55505d","Animal_1511_1","286","286:Animal_1511_1,243:Animal_1511_2,166:Animal_1511_5,142:Animal_1511_3,141:a1511_fla.c_65,93:Animal_1511_6,24:Animal_1511_4",,"mapped-not-extracted"
"1513","双峰驼","26","16450","18660","76","18","3","32400","64800","403200","module/mc/main/animal/a1513.swf","41871","5fe7701b7e19627dd7a13916f3ebbbf132ee5ceb6f7c27cabaaa63233eae48d4","Animal_1513_4","67","67:Animal_1513_4,65:Animal_1513_1,59:Animal_1513_2,55:Animal_1513_3,54:a1513_fla.11111111_23,32:Animal_1513_5,28:Animal_1513_6",,"mapped-not-extracted"
"1514","犀牛","27","16780","18880","77","19","3","28800","57600","432000","module/mc/main/animal/a1514.swf","30425","e3c3002716f015d5c462732f22adfdd4f3da7e24752a8d52a39705622c4edde8","Animal_1514_6","84","84:Animal_1514_6,74:Animal_1514_5,68:Animal_1514_4,65:Animal_1514_3,64:a1514_fla.Timeline_15,43:Animal_1514_2,34:Animal_1514_1",,"mapped-not-extracted"
"1018","穿山甲","28","17300","18890","78","13","3","27000","54000","288000","module/mc/main/animal/a1018.swf","40104","1f565f60624f65b4fe0a2eceade47a886b51257e6bde37dd99171c3df98b74e7","Animal_1018_6","86","86:Animal_1018_6,80:Animal_1018_5,76:Animal_1018_4,73:Animal_1018_3,72:a1018_fla.chuanshanjia_zhua_30,52:Animal_1018_2,31:Animal_1018_1",,"mapped-not-extracted"
"1515","猩猩","29","17990","18930","79","13","3","30600","61200","259200","module/mc/main/animal/a1515.swf","35211","acece3d0d1993d69bd54606fde59bea66aeaff4b40194c4a1b2782cf05407e72","Animal_1515_6","54","54:Animal_1515_6,46:Animal_1515_5,42:Animal_1515_3,41:a1515_fla.Timeline_16,27:Animal_1515_2,23:Animal_1515_1,14:Animal_1515_4",,"mapped-not-extracted"
"1516","河马","30","18280","18950","80","13","3","28800","57600","291600","module/mc/main/animal/a1516.swf","32888","ab38bd2695836ddfd69329487571c453ed17dca87f77f95b1fe7f24fb6365c2e","Animal_1516_6","92","92:Animal_1516_6,86:Animal_1516_5,82:Animal_1516_4,80:Animal_1516_3,79:a1516_fla.hema_zhua_29,52:Animal_1516_1,42:Animal_1516_2",,"mapped-not-extracted"
"1517","火烈鸟","31","18290","19090","81","11","3","23400","46800","259200","module/mc/main/animal/a1517.swf","26442","2b64434b1ba2c4a6a2e3cd945a56d14aef761809b2684c26ade0221db1d7c421","Animal_1517_4","104","104:Animal_1517_4,102:Animal_1517_1,97:Animal_1517_2,72:Animal_1517_3,71:a1517_fla.f_29,51:Animal_1517_5,47:Animal_1517_6",,"mapped-not-extracted"
"1019","紫貂","32","18560","19100","82","10","3","23400","46800","226800","module/mc/main/animal/a1019.swf","28148","3bd8e2bc8bd990d7d8aa5f1494ffc19858da07c0971b10cf77d220960c19894e","Animal_1019_1","121","121:Animal_1019_1,116:Animal_1019_3,115:a1019_fla.s_42,90:Animal_1019_4,84:Animal_1019_6,70:Animal_1019_5,64:Animal_1019_2",,"mapped-not-extracted"
"1512","貔貅","50","30000","32000","100","20","0","57600","115200","810000","module/mc/main/animal/a1512.swf","42312","bd264db0eab62fba5f23b794438c2c29c27d2c30990a9de50da17b08a7dd0f58","Animal_1512_1","176","176:Animal_1512_1,159:Animal_1512_2,142:Animal_1512_4,141:Animal_1512_5,124:Animal_1512_6,102:Animal_1512_3,101:a1512_fla.Timeline_58",,"mapped-not-extracted"
