"source_id","name","original_level","state_index","state_key","state_label","source_character_id","source_export_file","source_sha256","width","height","duplicate_character","current_stage","current_asset","current_source_character_id","current_source_export_file","current_source_relationship","current_sha256","current_match_status","visual_review_status"
"3","胡萝卜","0","3","growing","生长","8","Crop_3.swf/DefineSprite_8/1.png","e58d57eb0af9230ccdbbf0588b0c01e10ecc71785d223f19180acedc291a84f9","64","79","True","2","assets/manor/classic/crop-carrot-2.png","8","Crop_3.swf/DefineSprite_8/1.png","state-character","e58d57eb0af9230ccdbbf0588b0c01e10ecc71785d223f19180acedc291a84f9","exact","pending-contact-sheet-review"
"3","胡萝卜","0","4","pre_mature","成熟前","8","Crop_3.swf/DefineSprite_8/1.png","e58d57eb0af9230ccdbbf0588b0c01e10ecc71785d223f19180acedc291a84f9","64","79","True","","","","","","","not-current","pending-contact-sheet-review"
"3","胡萝卜","0","5","mature","成熟","20","Crop_3.swf/DefineSprite_20/1.png","dfcf41ae1a5af28b2936203a9ac8c7d1f7ed02fdb32f80efe743a81b74608ed3","91","123","False","3","assets/manor/classic/crop-carrot-3.png","20","Crop_3.swf/DefineSprite_20/1.png","state-character","dfcf41ae1a5af28b2936203a9ac8c7d1f7ed02fdb32f80efe743a81b74608ed3","exact","pending-contact-sheet-review"
"3","胡萝卜","0","6","withered","枯萎","22","Crop_3.swf/DefineSprite_22/1.png","d6a6f31b306ea0342f210da30b05bb6dc4cdfd731ac7353489f434a30c6b1bba","126","55","False","","","","","","","not-current","pending-contact-sheet-review"
"40","牧草","0","0","seed","种子","2","Crop_40.swf/DefineSprite_2/1.png","db64a2423bcb9185ca003d386c22654cd570c0c817515db055cea33e28d4a10e","42","17","False","","","","","","","not-current","pending-contact-sheet-review"
"40","牧草","0","1","sprout","发芽","4","Crop_40.swf/DefineSprite_4/1.png","c903a508161b1f0073014802d5f6085e017853c6295338382d571291bebc4b67","40","65","False","","","","","","","not-current","pending-contact-sheet-review"
"40","牧草","0","2","young","幼苗","11","Crop_40.swf/DefineSprite_11/1.png","9f9403eeab2a64b49580e1e41ff44959a7b531c240955a50d94e790673d86e25","64","72","False","","","","","","","not-current","pending-contact-sheet-review"
"40","牧草","0","3","growing","生长","15","Crop_40.swf/DefineSprite_15/1.png","5e1273c2b35ff427399c1fbfb86656aa770f134efeef2155a1304214d3f59cf1","92","90","True","","","","","","","not-current","pending-contact-sheet-review"
"40","牧草","0","4","pre_mature","成熟前","15","Crop_40.swf/DefineSprite_15/1.png","5e1273c2b35ff427399c1fbfb86656aa770f134efeef2155a1304214d3f59cf1","92","90","True","","","","","","","not-current","pending-contact-sheet-review"
"40","牧草","0","5","mature","成熟","24","Crop_40.swf/DefineSprite_24/1.png","3ace06419a994e273a6ff7394fcce695b8fbc87765ac1930c004a76bca8cd6a2","107","115","False","","","","","","","not-current","pending-contact-sheet-review"
"40","牧草","0","6","withered","枯萎","26","Crop_40.swf/DefineSprite_26/1.png","d6a6f31b306ea0342f210da30b05bb6dc4cdfd731ac7353489f434a30c6b1bba","126","55","False","","","","","","","not-current","pending-contact-sheet-review"
"81","圣诞树","0","0","seed","种子","9","Crop_81.swf/DefineSprite_9/1.png","4eda9d2051aa1b4a43a9d31c11419f842c587fe842a658642b2fda5a8bedc395","147","62","False","","","","","","","not-current","pending-contact-sheet-review"
"81","圣诞树","0","1","sprout","发芽","13","Crop_81.swf/DefineSprite_13/1.png","a9c88809e0b03aef6fc53de1804afd1cb466e7cb6167dc7ae830397fd7555a0b","147","88","False","","","","","","","not-current","pending-contact-sheet-review"
"81","圣诞树","0","2","young","幼苗","17","Crop_81.swf/DefineSprite_17/1.png","eb74ddf7654d33120451e364451f52571f6b445ecdf3b22bf8feeba50546572b","147","121","False","","","","","","","not-current","pending-contact-sheet-review"
"81","圣诞树","0","3","growing","生长","23","Crop_81.swf/DefineSprite_23/1.png","971ac8aaec5e977201e190e17c4cb0eec1262940357f936070ff8a546ea46ac2","147","149","False","","","","","","","not-current","pending-contact-sheet-review"
"81","圣诞树","0","4","pre_mature","成熟前","28","Crop_81.swf/DefineSprite_28/1.png","fef3a357cdc8e4788f47abee593746cc5d4450704b03fc2a197bcd1732f56985","147","149","False","","","","","","","not-current","pending-contact-sheet-review"
"81","圣诞树","0","5","mature","成熟","41","Crop_81.swf/DefineSprite_41/1.png","379d4f3747a76719c5bc187d50b00ad89a7041c10b070e5785fb0630626bcf4a","147","150","False","","","","","","","not-current","pending-contact-sheet-review"
"81","圣诞树","0","6","withered","枯萎","43","Crop_81.swf/DefineSprite_43/1.png","d6a6f31b306ea0342f210da30b05bb6dc4cdfd731ac7353489f434a30c6b1bba","126","55","False","","","","","","","not-current","pending-contact-sheet-review"
"59","大白菜","1","0","seed","种子","2","Crop_59.swf/DefineSprite_2/1.png","db64a2423bcb9185ca003d386c22654cd570c0c817515db055cea33e28d4a10e","42","17","False","0","assets/manor/classic/crop-cabbage-0.png","2","Crop_59.swf/DefineSprite_2/1.png","state-character","db64a2423bcb9185ca003d386c22654cd570c0c817515db055cea33e28d4a10e","exact","pending-contact-sheet-review"
"59","大白菜","1","1","sprout","发芽","4","Crop_59.swf/DefineSprite_4/1.png","d7e701b80deac1e700f3561765c8b22abb3d3274703b37ec565d5d1ece054d81","42","30","False","1","assets/manor/classic/crop-cabbage-1.png","4","Crop_59.swf/DefineSprite_4/1.png","state-character","d7e701b80deac1e700f3561765c8b22abb3d3274703b37ec565d5d1ece054d81","exact","pending-contact-sheet-review"
"59","大白菜","1","2","young","幼苗","7","Crop_59.swf/DefineSprite_7/1.png","dcfecec0ebb2ede725a297326be80615680d28b82da30f97deb4ab825a4d61fb","67","66","False","","","","","","","not-current","pending-contact-sheet-review"
"59","大白菜","1","3","growing","生长","9","Crop_59.swf/DefineSprite_9/1.png","1a05b48b16bb1df8a52dc52ac6d082a67b74b271f359915d3d162af2ce79bc75","89","75","False","2","assets/manor/classic/crop-cabbage-2.png","9","Crop_59.swf/DefineSprite_9/1.png","state-character","1a05b48b16bb1df8a52dc52ac6d082a67b74b271f359915d3d162af2ce79bc75","exact","pending-contact-sheet-review"
"59","大白菜","1","4","pre_mature","成熟前","11","Crop_59.swf/DefineSprite_11/1.png","b8a2b96bf697478df90b8d4895af6c88344a24902c260830b355e50457e3c8c9","95","81","False","","","","","","","not-current","pending-contact-sheet-review"
"59","大白菜","1","5","mature","成熟","13","Crop_59.swf/DefineSprite_13/1.png","a9dd8614f59ea006fb153524b9914552e96aa5c34ed3568f7596ca8c7d48cf20","105","83","False","3","assets/manor/classic/crop-cabbage-3.png","13","Crop_59.swf/DefineSprite_13/1.png","state-character","a9dd8614f59ea006fb153524b9914552e96aa5c34ed3568f7596ca8c7d48cf20","exact","pending-contact-sheet-review"
"59","大白菜","1","6","withered","枯萎","15","Crop_59.swf/DefineSprite_15/1.png","d6a6f31b306ea0342f210da30b05bb6dc4cdfd731ac7353489f434a30c6b1bba","126","55","False","","","","","","","not-current","pending-contact-sheet-review"
"1","草莓","10","0","seed","种子","2","Crop_1.swf/DefineSprite_2/1.png","1e75b2a99aeaa14220763d25acf65fa0ff908743b2b909b7502163ac656336ca","42","17","False","","","","","","","not-current","pending-contact-sheet-review"
"1","草莓","10","1","sprout","发芽","4","Crop_1.swf/DefineSprite_4/1.png","5c6fe98b1682ff363c358cb8ada040525577ec84083ceed6a37783ea99728136","33","37","False","","","","","","","not-current","pending-contact-sheet-review"
"1","草莓","10","2","young","幼苗","6","Crop_1.swf/DefineSprite_6/1.png","810c2ad4bb0d65ea35ed5d0ce7384394f1476cdbb18aacca11dab5b55e2325f2","62","59","False","","","","","","","not-current","pending-contact-sheet-review"
"1","草莓","10","3","growing","生长","9","Crop_1.swf/DefineSprite_9/1.png","ba6bfc88102816aece3b82dcf0cfa47c2c60dc515acfb7e1e06e069d73dfbcbc","106","94","False","","","","","","","not-current","pending-contact-sheet-review"
"1","草莓","10","4","pre_mature","成熟前","12","Crop_1.swf/DefineSprite_12/1.png","f15a54c74b58168d5fcde7c791e2d74185e92984068bb082f896ba5963068e94","111","101","False","","","","","","","not-current","pending-contact-sheet-review"
"1","草莓","10","5","mature","成熟","26","Crop_1.swf/DefineSprite_26/1.png","c3d794ab922c3f33b6bb2945ad3a62ec104654988d82b0e81bdd188e3ee22f29","116","119","False","","","","","","","not-current","pending-contact-sheet-review"
"1","草莓","10","6","withered","枯萎","28","Crop_1.swf/DefineSprite_28/1.png","d6a6f31b306ea0342f210da30b05bb6dc4cdfd731ac7353489f434a30c6b1bba","126","55","False","","","","","","","not-current","pending-contact-sheet-review"
"104","非洲菊","10","0","seed","种子","2","Crop_104.swf/DefineSprite_2/1.png","db64a2423bcb9185ca003d386c22654cd570c0c817515db055cea33e28d4a10e","42","17","False","","","","","","","not-current","pending-contact-sheet-review"
"104","非洲菊","10","1","sprout","发芽","4","Crop_104.swf/DefineSprite_4/1.png","988f5c7568733b7c652ed33bf79f8ca60f1fbddd9a1b22b71ed18fe28a1dc37b","30","32","False","","","","","","","not-current","pending-contact-sheet-review"
"104","非洲菊","10","2","young","幼苗","7","Crop_104.swf/DefineSprite_7/1.png","9b8ae1dd0df6ee821ed9f8606e4514b317533e82dac9fc0b1d1b5f3c807555fc","87","56","False","","","","","","","not-current","pending-contact-sheet-review"
"104","非洲菊","10","3","growing","生长","14","Crop_104.swf/DefineSprite_14/1.png","6551df4a7c602f685460868c3b18a6e46d0cf09239bd4b55a2b3ea0a4d96502a","117","79","False","","","","","","","not-current","pending-contact-sheet-review"
"104","非洲菊","10","4","pre_mature","成熟前","18","Crop_104.swf/DefineSprite_18/1.png","f8907a95eaf44b228188b85f39def0367a3bccdbebe14396c3ae431ece1678f5","117","121","False","","","","","","","not-current","pending-contact-sheet-review"
"104","非洲菊","10","5","mature","成熟","26","Crop_104.swf/DefineSprite_26/1.png","1c0218177fc138ac404fd41bccc0078aa748c6005f43ad633e73a353ecaacd79","117","130","False","","","","","","","not-current","pending-contact-sheet-review"
"104","非洲菊","10","6","withered","枯萎","28","Crop_104.swf/DefineSprite_28/1.png","d6a6f31b306ea0342f210da30b05bb6dc4cdfd731ac7353489f434a30c6b1bba","126","55","False","","","","","","","not-current","pending-contact-sheet-review"
"11","苹果","10","0","seed","种子","2","Crop_11.swf/DefineSprite_2/1.png","65f1668558eaad1331a7d1cb317033ba552c16945a83ce40775109a8f469d947","18","40","False","","","","","","","not-current","pending-contact-sheet-review"
"11","苹果","10","1","sprout","发芽","4","Crop_11.swf/DefineSprite_4/1.png","4d11100993090773f2274d87bd5eea2ffcbfa4f77900e6fbc1b4b3b19c52e580","23","64","False","","","","","","","not-current","pending-contact-sheet-review"
"11","苹果","10","2","young","幼苗","6","Crop_11.swf/DefineSprite_6/1.png","e447a89b27a6240bee30c340871433f878b504fd201193891c45df255df08e73","80","72","False","","","","","","","not-current","pending-contact-sheet-review"
"11","苹果","10","3","growing","生长","9","Crop_11.swf/DefineSprite_9/1.png","15b0eab1a55ec0e7dbdb163ce8cc423a76b4b680815291ca18a2942e1e017183","131","110","False","","","","","","","not-current","pending-contact-sheet-review"
"11","苹果","10","4","pre_mature","成熟前","12","Crop_11.swf/DefineSprite_12/1.png","048b9a5543fe2abf6ba616b19df734cf38612b7cdd0ff087f85f3e7df95ae8db","131","110","False","","","","","","","not-current","pending-contact-sheet-review"
"11","苹果","10","5","mature","成熟","15","Crop_11.swf/DefineSprite_15/1.png","70ff4b7dfa8322068680596eb02d31042a8b632f79cf5db596379ac6eb9690c0","131","110","False","","","","","","","not-current","pending-contact-sheet-review"
"11","苹果","10","6","withered","枯萎","17","Crop_11.swf/DefineSprite_17/1.png","d6a6f31b306ea0342f210da30b05bb6dc4cdfd731ac7353489f434a30c6b1bba","126","55","False","","","","","","","not-current","pending-contact-sheet-review"
"62","四叶草","10","0","seed","种子","2","Crop_62.swf/DefineSprite_2/1.png","db64a2423bcb9185ca003d386c22654cd570c0c817515db055cea33e28d4a10e","42","17","False","","","","","","","not-current","pending-contact-sheet-review"
"62","四叶草","10","1","sprout","发芽","19","Crop_62.swf/DefineSprite_19/1.png","9c4892331a382bff9616663b0c1e0d6893011a6453a5fccab17d843d1a36f8b9","37","44","False","","","","","","","not-current","pending-contact-sheet-review"
"62","四叶草","10","2","young","幼苗","30","Crop_62.swf/DefineSprite_30/1.png","3985385a0c9e4c433b68e3986a542ad2d5e0eed2cf60e6e643d19557f4b43881","63","56","False","","","","","","","not-current","pending-contact-sheet-review"
"62","四叶草","10","3","growing","生长","38","Crop_62.swf/DefineSprite_38/1.png","be4d09642276e7a06d373c1fc1879d4bc0d0e3a18da68f352d12de668200f85f","80","70","False","","","","","","","not-current","pending-contact-sheet-review"
"62","四叶草","10","4","pre_mature","成熟前","41","Crop_62.swf/DefineSprite_41/1.png","b5d6a2d562a888308ad96c32a12160556d87cff155c13667a25e07235caaf870","86","85","False","","","","","","","not-current","pending-contact-sheet-review"
"62","四叶草","10","5","mature","成熟","44","Crop_62.swf/DefineSprite_44/1.png","4a9e59187942a423962fa52ba0f8c8867c87f091aec05e1530b18c3e9a0b6316","101","108","False","","","","","","","not-current","pending-contact-sheet-review"
"62","四叶草","10","6","withered","枯萎","46","Crop_62.swf/DefineSprite_46/1.png","d6a6f31b306ea0342f210da30b05bb6dc4cdfd731ac7353489f434a30c6b1bba","126","55","False","","","","","","","not-current","pending-contact-sheet-review"
"111","粉玫瑰","11","0","seed","种子","2","Crop_111.swf/DefineSprite_2/1.png","db64a2423bcb9185ca003d386c22654cd570c0c817515db055cea33e28d4a10e","42","17","False","","","","","","","not-current","pending-contact-sheet-review"
"111","粉玫瑰","11","1","sprout","发芽","4","Crop_111.swf/DefineSprite_4/1.png","57ac835a3b01cc9c6b4af4b802b726503a6d24f45404073f56c3cabf1676bb12","33","30","False","","","","","","","not-current","pending-contact-sheet-review"
"111","粉玫瑰","11","2","young","幼苗","11","Crop_111.swf/DefineSprite_11/1.png","5939abcc350b81b743bdc3a7b9162dc607285b3f014e63a53677015c65744580","56","66","False","","","","","","","not-current","pending-contact-sheet-review"
"111","粉玫瑰","11","3","growing","生长","20","Crop_111.swf/DefineSprite_20/1.png","16903b033400b6561b6b5f42144b33523a2c9162be1473663f072ffce92a3340","106","96","False","","","","","","","not-current","pending-contact-sheet-review"
"111","粉玫瑰","11","4","pre_mature","成熟前","28","Crop_111.swf/DefineSprite_28/1.png","56ef6aea822ac291edc4c895843f68f79fa6970fc5fc366c4e57b294c81c846b","111","106","False","","","","","","","not-current","pending-contact-sheet-review"
"111","粉玫瑰","11","5","mature","成熟","53","Crop_111.swf/DefineSprite_53/1.png","8cee3e3fa47ecd7c6c4b65641a356667834e4a1db50b89d313b675bfc2323c6c","118","112","False","","","","","","","not-current","pending-contact-sheet-review"
"111","粉玫瑰","11","6","withered","枯萎","55","Crop_111.swf/DefineSprite_55/1.png","d6a6f31b306ea0342f210da30b05bb6dc4cdfd731ac7353489f434a30c6b1bba","126","55","False","","","","","","","not-current","pending-contact-sheet-review"
"14","西瓜","11","0","seed","种子","2","Crop_14.swf/DefineSprite_2/1.png","1e75b2a99aeaa14220763d25acf65fa0ff908743b2b909b7502163ac656336ca","42","17","False","","","","","","","not-current","pending-contact-sheet-review"
"14","西瓜","11","1","sprout","发芽","4","Crop_14.swf/DefineSprite_4/1.png","82cc0c7f9f91e4bfe92247719a77fe31cd15bace13049b50d566dbbc2ac21504","65","61","False","","","","","","","not-current","pending-contact-sheet-review"
"14","西瓜","11","2","young","幼苗","8","Crop_14.swf/DefineSprite_8/1.png","a0b3f00971fd51dad25daa75e09c808b207fa7eda508ef82bf04ad297c788391","77","85","False","","","","","","","not-current","pending-contact-sheet-review"
"14","西瓜","11","3","growing","生长","10","Crop_14.swf/DefineSprite_10/1.png","f3a458b149675cd161b19f595fada586ff84e1e9ab86fec763e81bb1aa888623","152","118","False","","","","","","","not-current","pending-contact-sheet-review"
"14","西瓜","11","4","pre_mature","成熟前","12","Crop_14.swf/DefineSprite_12/1.png","0d7031aaf3a929b6487d8d55ea9e39dd7577d10e903a7b3519323023f759c042","156","121","False","","","","","","","not-current","pending-contact-sheet-review"
"14","西瓜","11","5","mature","成熟","14","Crop_14.swf/DefineSprite_14/1.png","bfd0b7819a176b30b89ffbb1c052eab80899280e5ad576ec815443e1f45ce061","145","112","False","","","","","","","not-current","pending-contact-sheet-review"
"14","西瓜","11","6","withered","枯萎","16","Crop_14.swf/DefineSprite_16/1.png","d6a6f31b306ea0342f210da30b05bb6dc4cdfd731ac7353489f434a30c6b1bba","126","55","False","","","","","","","not-current","pending-contact-sheet-review"
"70","黄豆","11","0","seed","种子","2","Crop_70.swf/DefineSprite_2/1.png","db64a2423bcb9185ca003d386c22654cd570c0c817515db055cea33e28d4a10e","42","17","False","","","","","","","not-current","pending-contact-sheet-review"
"70","黄豆","11","1","sprout","发芽","6","Crop_70.swf/DefineSprite_6/1.png","2d85c89438534988699abe0a05351dca31493e670492b851a7b632ce15f1f7c2","27","30","False","","","","","","","not-current","pending-contact-sheet-review"
"70","黄豆","11","2","young","幼苗","11","Crop_70.swf/DefineSprite_11/1.png","100cd8c938fbad59386037cb2386e6154592069edf851e47a4384a1b6f679569","43","60","False","","","","","","","not-current","pending-contact-sheet-review"
"70","黄豆","11","3","growing","生长","14","Crop_70.swf/DefineSprite_14/1.png","46a3cd3ef4ecfa66dfb36ca6eef841a9fb87f34befbfb98a2d441de30b26cf3e","85","88","False","","","","","","","not-current","pending-contact-sheet-review"
"70","黄豆","11","4","pre_mature","成熟前","18","Crop_70.swf/DefineSprite_18/1.png","dd7696d77fee2b861f8070dc542249e914a995e1f1596ac09c1ebe344cef1190","107","101","False","","","","","","","not-current","pending-contact-sheet-review"
"70","黄豆","11","5","mature","成熟","23","Crop_70.swf/DefineSprite_23/1.png","7c7a3169a91ad2c6dfc87a54123b98c7d0cc8af75c451f0182af2a33336c6bbc","115","120","False","","","","","","","not-current","pending-contact-sheet-review"
"70","黄豆","11","6","withered","枯萎","25","Crop_70.swf/DefineSprite_25/1.png","d6a6f31b306ea0342f210da30b05bb6dc4cdfd731ac7353489f434a30c6b1bba","126","55","False","","","","","","","not-current","pending-contact-sheet-review"
"112","风信子","12","0","seed","种子","2","Crop_112.swf/DefineSprite_2/1.png","a77859d654afa00395552a1090d7fec9dbebb7561894ee3357108e9896f90351","42","17","False","","","","","","","not-current","pending-contact-sheet-review"
"112","风信子","12","1","sprout","发芽","5","Crop_112.swf/DefineSprite_5/1.png","a3651f1479174ba9b86790d5a03332850ca2d85918fc9b605e6b315a2e7d8a2e","52","25","False","","","","","","","not-current","pending-contact-sheet-review"
"112","风信子","12","2","young","幼苗","8","Crop_112.swf/DefineSprite_8/1.png","1f88330a5f1a42aedc2e0fb5d22af3c2ecec63eeb0d9a8cc718433d1080474d6","61","41","False","","","","","","","not-current","pending-contact-sheet-review"
"112","风信子","12","3","growing","生长","11","Crop_112.swf/DefineSprite_11/1.png","d3ea7784eb4b77a4dd4e9a58607e8fd35d19d73ab49bfe881a8b73730847c436","84","70","False","","","","","","","not-current","pending-contact-sheet-review"
"112","风信子","12","4","pre_mature","成熟前","21","Crop_112.swf/DefineSprite_21/1.png","9dc0021664bb0025966ffbdee059386c9d21bd1d75faa4b156390c011b21ac9d","99","90","False","","","","","","","not-current","pending-contact-sheet-review"
"112","风信子","12","5","mature","成熟","31","Crop_112.swf/DefineSprite_31/1.png","d483bc9e13edfee02d047e4af0ca885cb40bb8ce1b7f747f68ca97cba7ac6c48","104","109","False","","","","","","","not-current","pending-contact-sheet-review"
"112","风信子","12","6","withered","枯萎","33","Crop_112.swf/DefineSprite_33/1.png","d6a6f31b306ea0342f210da30b05bb6dc4cdfd731ac7353489f434a30c6b1bba","126","55","False","","","","","","","not-current","pending-contact-sheet-review"
"118","水仙花","12","0","seed","种子","3","Crop_118.swf/DefineSprite_3/1.png","45ee4b3f5d869ce61e241531ae09d02da11cfaead8dd5fdb34c1f375aae715f6","93","41","False","","","","","","","not-current","pending-contact-sheet-review"
"118","水仙花","12","1","sprout","发芽","7","Crop_118.swf/DefineSprite_7/1.png","f7aa5137f6126969ca87b4840f42275383c3a68adba8c5a9a91fbf3fe228bb30","93","51","False","","","","","","","not-current","pending-contact-sheet-review"
"118","水仙花","12","2","young","幼苗","11","Crop_118.swf/DefineSprite_11/1.png","26a91fe097be63c05ebc946e42a24454630c11f31e0b4d1d60088b17b4c110a6","93","88","False","","","","","","","not-current","pending-contact-sheet-review"
"118","水仙花","12","3","growing","生长","14","Crop_118.swf/DefineSprite_14/1.png","477295acfd729d53cbb07dc4b03a9661cfa0b05f1db167fdd8a1bd77e1d7a14d","93","110","False","","","","","","","not-current","pending-contact-sheet-review"
"118","水仙花","12","4","pre_mature","成熟前","17","Crop_118.swf/DefineSprite_17/1.png","2b5ae70b780e2fa1e26dc3f336731f58b45d52c4c297d5a4df5896447e480ac4","95","124","False","","","","","","","not-current","pending-contact-sheet-review"
"118","水仙花","12","5","mature","成熟","23","Crop_118.swf/DefineSprite_23/1.png","2079a4c4322c90a3f9e15aaec1897dbe57c2759854c0d6522128574553046e62","102","136","False","","","","","","","not-current","pending-contact-sheet-review"
"118","水仙花","12","6","withered","枯萎","25","Crop_118.swf/DefineSprite_25/1.png","ac7e5088bc6dbb39325dc29a1f1c230c3f84d985445cbe0870bb57ad25f4abf9","126","55","False","","","","","","","not-current","pending-contact-sheet-review"
"15","香蕉","12","0","seed","种子","2","Crop_15.swf/DefineSprite_2/1.png","e3fe9112cf934b7d749164573eac959c17b8836a6876eced68cf420291337d90","16","29","False","","","","","","","not-current","pending-contact-sheet-review"
"15","香蕉","12","1","sprout","发芽","4","Crop_15.swf/DefineSprite_4/1.png","1023e2ef0216f855bc217a61f1ce60ee9c5b55509bd5f6989c614d77f186baff","47","50","False","","","","","","","not-current","pending-contact-sheet-review"
"15","香蕉","12","2","young","幼苗","6","Crop_15.swf/DefineSprite_6/1.png","a3acc51cc4a965f3d75a36db3aa1ab919fc20bcb786474e25514c317c14cd606","86","62","False","","","","","","","not-current","pending-contact-sheet-review"
"15","香蕉","12","3","growing","生长","8","Crop_15.swf/DefineSprite_8/1.png","d057f80bdeb22a6fb50e2c48951da4b15879a542678ab2e2b25dbd6d9491cf8a","111","89","False","","","","","","","not-current","pending-contact-sheet-review"
"15","香蕉","12","4","pre_mature","成熟前","14","Crop_15.swf/DefineSprite_14/1.png","24c5d2cceecf4e839652687d512dca32dfe3d010425974538632b944365f41ce","113","110","False","","","","","","","not-current","pending-contact-sheet-review"
"15","香蕉","12","5","mature","成熟","19","Crop_15.swf/DefineSprite_19/1.png","634968248f516307ad5ee7a1babbdd574af5efb96c088bdbb266952ccffc04b8","126","123","False","","","","","","","not-current","pending-contact-sheet-review"
"15","香蕉","12","6","withered","枯萎","21","Crop_15.swf/DefineSprite_21/1.png","d6a6f31b306ea0342f210da30b05bb6dc4cdfd731ac7353489f434a30c6b1bba","126","55","False","","","","","","","not-current","pending-contact-sheet-review"
"109","蝴蝶兰","13","0","seed","种子","4","Crop_109.swf/DefineSprite_4/1.png","db64a2423bcb9185ca003d386c22654cd570c0c817515db055cea33e28d4a10e","42","17","False","","","","","","","not-current","pending-contact-sheet-review"
"109","蝴蝶兰","13","1","sprout","发芽","25","Crop_109.swf/DefineSprite_25/1.png","5189fbe001454f7a28533d5090a4a62d8b093438f4af69f849794a092a9f08dd","35","32","False","","","","","","","not-current","pending-contact-sheet-review"
"109","蝴蝶兰","13","2","young","幼苗","27","Crop_109.swf/DefineSprite_27/1.png","1b008c4c2c9a0f45c24cfe765982483fe2aeec93007da597ffe6fc3ab5712c69","58","77","False","","","","","","","not-current","pending-contact-sheet-review"
"109","蝴蝶兰","13","3","growing","生长","31","Crop_109.swf/DefineSprite_31/1.png","81dc04ba40b5ade37d16756edb8fb49dc89c89b38ac73eac0479c42a78c504af","100","96","False","","","","","","","not-current","pending-contact-sheet-review"
"109","蝴蝶兰","13","4","pre_mature","成熟前","36","Crop_109.swf/DefineSprite_36/1.png","a14f2839d08db97c8371f2fef238837530cd58c3fe7a9b3869696da4a25a627f","125","117","False","","","","","","","not-current","pending-contact-sheet-review"
