"source_id","name","contact_sheet","review_status","review_note"
"44","丝瓜","contact-sheets/crops/crop-044.png","reviewed-ok",""
"46","爱心果","contact-sheets/crops/crop-046.png","reviewed-ok",""
"72","榛子","contact-sheets/crops/crop-072.png","reviewed-ok",""
"23","石榴","contact-sheets/crops/crop-023.png","reviewed-ok",""
"106","郁金香","contact-sheets/crops/crop-106.png","reviewed-ok",""
"26","柚子","contact-sheets/crops/crop-026.png","reviewed-ok",""
"50","蘑菇","contact-sheets/crops/crop-050.png","reviewed-ok","生长与成熟前复用源角色 18，已确认是原 SWF 结构。"
"27","菠萝","contact-sheets/crops/crop-027.png","reviewed-ok",""
"102","马蹄莲","contact-sheets/crops/crop-102.png","reviewed-ok",""
"29","椰子","contact-sheets/crops/crop-029.png","reviewed-ok",""
"49","花生","contact-sheets/crops/crop-049.png","reviewed-ok",""
"69","莴笋","contact-sheets/crops/crop-069.png","reviewed-ok",""
"114","蓝玫瑰","contact-sheets/crops/crop-114.png","reviewed-ok",""
"31","葫芦","contact-sheets/crops/crop-031.png","reviewed-ok",""
"45","猕猴桃","contact-sheets/crops/crop-045.png","reviewed-ok",""
"54","梨","contact-sheets/crops/crop-054.png","reviewed-ok",""
"101","薰衣草","contact-sheets/crops/crop-101.png","reviewed-ok",""
"33","火龙果","contact-sheets/crops/crop-033.png","reviewed-ok",""
"55","枇杷","contact-sheets/crops/crop-055.png","reviewed-ok",""
"107","仙人掌","contact-sheets/crops/crop-107.png","reviewed-ok",""
"34","樱桃","contact-sheets/crops/crop-034.png","reviewed-ok",""
"108","铃兰","contact-sheets/crops/crop-108.png","reviewed-ok",""
"35","荔枝","contact-sheets/crops/crop-035.png","reviewed-ok",""
"38","木瓜","contact-sheets/crops/crop-038.png","reviewed-ok",""
"53","桂圆","contact-sheets/crops/crop-053.png","reviewed-ok",""
"39","杨桃","contact-sheets/crops/crop-039.png","reviewed-ok",""
"92","稀世琉璃果","contact-sheets/crops/crop-092.png","reviewed-ok",""
"93","炫舞之星","contact-sheets/crops/crop-093.png","reviewed-ok",""
"94","海洋之心","contact-sheets/crops/crop-094.png","reviewed-ok",""
"42","柠檬","contact-sheets/crops/crop-042.png","reviewed-ok",""
"57","芒果","contact-sheets/crops/crop-057.png","reviewed-ok",""
"125","太阳花","contact-sheets/crops/crop-125.png","reviewed-ok",""
"48","杨梅","contact-sheets/crops/crop-048.png","reviewed-ok",""
"58","榴莲","contact-sheets/crops/crop-058.png","reviewed-ok",""
"56","哈密瓜","contact-sheets/crops/crop-056.png","reviewed-ok",""
"79","番石榴","contact-sheets/crops/crop-079.png","reviewed-ok",""
"75","桑葚","contact-sheets/crops/crop-075.png","reviewed-ok",""
"77","蓝莓","contact-sheets/crops/crop-077.png","reviewed-ok",""
"76","山竹","contact-sheets/crops/crop-076.png","reviewed-ok",""
"80","月柿","contact-sheets/crops/crop-080.png","reviewed-ok",""
"63","苦瓜","contact-sheets/crops/crop-063.png","reviewed-ok",""
"68","冬瓜","contact-sheets/crops/crop-068.png","reviewed-ok",""
"78","杏子","contact-sheets/crops/crop-078.png","reviewed-ok",""
"74","金桔","contact-sheets/crops/crop-074.png","reviewed-ok",""
"83","红毛丹","contact-sheets/crops/crop-083.png","reviewed-ok",""
"84","芭蕉","contact-sheets/crops/crop-084.png","reviewed-ok",""
"85","番荔枝","contact-sheets/crops/crop-085.png","reviewed-ok",""
"86","橄榄","contact-sheets/crops/crop-086.png","reviewed-ok",""
"87","百香果","contact-sheets/crops/crop-087.png","reviewed-ok",""
