"source_id","name","original_level","crop_type","seed_price","sale_price","base_yield","experience","growth_seconds","harvest_cycles","source_swf","source_bytes","source_sha256","root_sprite_id","state_character_ids","state_0_seed","state_1_sprout","state_2_young","state_3_growing","state_4_pre_mature","state_5_mature","state_6_withered","swf_parse_error","current_id","current_assets","processing_status"
"51","红枣","5","1","237","25","20","21","57600","1","module/nc/crops/Crop_51.swf","19180","6958ea07c6fcbf8b8690e3ecc356e746ee1717704513f4214528c51a7452c4a6","22","2,8,11,13,16,19,21","2","8","11","13","16","19","21",,"","","mapped-not-extracted"
"7","番茄","6","1","251","26","21","22","61200","1","module/nc/crops/Crop_7.swf","20165","65a28d639b747e3b30bc7ae19fbb058de2446e0bb9d74579fe47690f8f1aba37","20","2,4,6,9,12,17,19","2","4","6","9","12","17","19",,"tomato","assets/manor/classic/crop-tomato-0.png;assets/manor/classic/crop-tomato-1.png;assets/manor/classic/crop-tomato-2.png;assets/manor/classic/crop-tomato-3.png","integrated-4-stage"
"105","小雏菊","6","1","251","26","21","22","61200","1","module/nc/crops/Crop_105.swf","11876","49a95ea8a9a3ce17d8f17fdeab71f29f79b642ed735e154c776a5d23600e3402","32","2,6,12,14,23,29,31","2","6","12","14","23","29","31",,"","","mapped-not-extracted"
"8","豌豆","7","1","266","27","22","23","64800","1","module/nc/crops/Crop_8.swf","20128","f2e48f9da158ee4cecb4d85a60a174909ca06461aa2fb72bb17a6a1ee42f2acb","15","2,4,6,8,10,12,14","2","4","6","8","10","12","14",,"pea","assets/manor/classic/crop-pea-0.png;assets/manor/classic/crop-pea-1.png;assets/manor/classic/crop-pea-2.png;assets/manor/classic/crop-pea-3.png","integrated-4-stage"
"41","红玫瑰","7","1","266","27","22","23","64800","1","module/nc/crops/Crop_41.swf","14104","9d272ed6380ead91ceaa2cee10c0deb861bf14660678ba5c2c1294864ab35427","40","2,6,11,19,25,37,39","2","6","11","19","25","37","39",,"","","mapped-not-extracted"
"9","辣椒","8","1","296","28","24","25","72000","1","module/nc/crops/Crop_9.swf","13563","ec39efb04f50d0b635c358df7faef5d7506d7881af90546e5c75ad14c61cf9ae","23","2,4,7,14,17,20,22","2","4","7","14","17","20","22",,"chili","assets/manor/classic/crop-chili-0.png;assets/manor/classic/crop-chili-1.png;assets/manor/classic/crop-chili-2.png;assets/manor/classic/crop-chili-3.png","integrated-4-stage"
"103","天香百合","8","1","296","28","24","25","72000","1","module/nc/crops/Crop_103.swf","10990","cab62dd909af44661520dc273e9bd6d1ce6132a386bfb77f043e501ad9744255","30","2,4,10,16,21,27,29","2","4","10","16","21","27","29",,"","","mapped-not-extracted"
"10","南瓜","9","1","325","30","25","27","79200","1","module/nc/crops/Crop_10.swf","21467","a476747fc1830b9848f2c127fbee48bbf036770e09dd71a850a0e486fd2c02e6","15","2,4,6,8,10,12,14","2","4","6","8","10","12","14",,"pumpkin","assets/manor/classic/crop-pumpkin-0.png;assets/manor/classic/crop-pumpkin-1.png;assets/manor/classic/crop-pumpkin-2.png;assets/manor/classic/crop-pumpkin-3.png","integrated-4-stage"
"1","草莓","10","1","605","27","24","20","86400","2","module/nc/crops/Crop_1.swf","19207","5db3f712ba43d327835c9be3944564e4c0cdf06a63b6f1714c4e8fa8e835db0e","29","2,4,6,9,12,26,28","2","4","6","9","12","26","28",,"","","mapped-not-extracted"
"11","苹果","10","1","578","24","23","18","75600","2","module/nc/crops/Crop_11.swf","15888","001aaa0cfc53a63a1fb91be12666d99364466b332c83f68e1887814af6f6de7b","18","2,4,6,9,12,15,17","2","4","6","9","12","15","17",,"","","mapped-not-extracted"
"62","四叶草","10","1","605","27","24","20","82800","2","module/nc/crops/Crop_62.swf","8351","4e11b892c5638b75e575445ad4aff6b5eb8632c9e45dfd179f6c441e974ace99","47","2,19,30,38,41,44,46","2","19","30","38","41","44","46",,"","","mapped-not-extracted"
"104","非洲菊","10","1","578","24","23","18","75600","2","module/nc/crops/Crop_104.swf","15737","72fdc5a3d3e3d69249b5b3b09ca3858cc91af8ceae7b87f7a82f8d926a0e63b5","29","2,4,7,14,18,26,28","2","4","7","14","18","26","28",,"","","mapped-not-extracted"
"14","西瓜","11","1","708","29","27","23","100800","2","module/nc/crops/Crop_14.swf","20285","dc3011fae5d92a0cbb9775df9c75c91402b9c9bb079a22b88c3878a7ba597e29","17","2,4,8,10,12,14,16","2","4","8","10","12","14","16",,"","","mapped-not-extracted"
"70","黄豆","11","1","708","29","27","23","100800","2","module/nc/crops/Crop_70.swf","12209","099956cabf8866ad1cd6393150ee1be9fc8862c0f18d2c70e92c079af3e3bc8d","26","2,6,11,14,18,23,25","2","6","11","14","18","23","25",,"","","mapped-not-extracted"
"111","粉玫瑰","11","1","708","29","27","23","100800","2","module/nc/crops/Crop_111.swf","19317","fb52ae4f4ff54b46faebc6177015521e751b6951c92bd82a43c5387b90cc6a77","56","2,4,11,20,28,53,55","2","4","11","20","28","53","55",,"","","mapped-not-extracted"
"15","香蕉","12","1","900","32","29","25","111600","2","module/nc/crops/Crop_15.swf","18838","4b0db1e1faef1a76e2359a98f6887df117377c0e862fc3676d08331f4dccfec3","22","2,4,6,8,14,19,21","2","4","6","8","14","19","21",,"","","mapped-not-extracted"
"112","风信子","12","1","900","32","29","25","111600","2","module/nc/crops/Crop_112.swf","21411","1d7820778db3e04fc5cd748f64903e632e204e132cb69bef130cdeabff95c9cb","34","2,5,8,11,21,31,33","2","5","8","11","21","31","33",,"","","mapped-not-extracted"
"118","水仙花","12","1","900","32","29","25","111600","2","module/nc/crops/Crop_118.swf","26257","cca324c4a413074864dab96a5e13697fa6161484f3552251456c34475da3ab03","26","3,7,11,14,17,23,25","3","7","11","14","17","23","25",,"","","mapped-not-extracted"
"18","桃子","13","1","1200","40","32","33","151200","2","module/nc/crops/Crop_18.swf","23987","219b8d85ab6326df86c517db2b37e2abe525c6ff97289cc593b3ba403811c796","27","2,4,9,16,17,24,26","2","4","9","16","17","24","26",,"","","mapped-not-extracted"
"47","甘蔗","13","1","1330","42","28","25","111600","2","module/nc/crops/Crop_47.swf","12157","ea3a260d646384c04fc8e318276851f5b2a62f1068054c6418e7e48fb428f12b","40","2,9,18,25,34,37,39","2","9","18","25","34","37","39",,"","","mapped-not-extracted"
"109","蝴蝶兰","13","1","3480","62","35","40","230400","3","module/nc/crops/Crop_109.swf","19618","5ef65094dce3d626323f6960479223d3485d45763a42e9fbfcdc7f73e7a61048","41","4,25,27,31,36,40,22","4","25","27","31","36","40","22",,"","","mapped-not-extracted"
"19","橙子","14","1","1587","41","26","25","133200","3","module/nc/crops/Crop_19.swf","15369","6d5d8c3e8b08da0c11fa7e90cea356a0de7c98ae0be1e2dd2bb9e4f96b90d4c2","17","2,4,6,8,12,14,16","2","4","6","8","12","14","16",,"","","mapped-not-extracted"
"25","银杏树苗","14","1","1587","40","26","25","126000","3","module/nc/crops/Crop_25.swf","13138","98ec8cc3e3d4d51b446a4bb90acdb4568cfe11117daf4add30ca416f5ae7a101","27","2,14,18,20,22,24,26","2","14","18","20","22","24","26",,"","","mapped-not-extracted"
"67","香瓜","14","1","1587","40","26","25","126000","4","module/nc/crops/Crop_67.swf","9121","c12c2753dbaf84c08681258013208ae72129b0a7408f8064dea6fb53d87b7403","30","2,7,10,15,20,27,29","2","7","10","15","20","27","29",,"","","mapped-not-extracted"
"82","摇钱树","14","1","1587","41","26","25","133200","3","module/nc/crops/Crop_82.swf","17935","82aa366cbfcda30c17a8aedc0c3269c02dd0dd5c18536ed713f4b9a601d15703","27","2,8,14,17,21,24,26","2","8","14","17","21","24","26",,"","","mapped-not-extracted"
"113","栀子花","14","1","1587","41","26","25","133200","3","module/nc/crops/Crop_113.swf","16850","f5cef3583dfcfebafada1c56437474fc31379fcd0cfe808052e75c615d5f4763","77","2,16,27,44,56,74,76","2","16","27","44","56","74","76",,"","","mapped-not-extracted"
"13","葡萄","15","1","1978","47","29","30","165600","3","module/nc/crops/Crop_13.swf","21770","86b5d94b0b4e908cae6e152028c31c04459f138b0ee61c078eaa3c1412982b42","21","2,4,8,12,14,18,20","2","4","8","12","14","18","20",,"","","mapped-not-extracted"
"44","丝瓜","15","1","2130","50","24","20","111600","3","module/nc/crops/Crop_44.swf","23079","0939de5c99ff7352e51546f64b7e72821ee3da211f5cd849d3aaa05ebdc201d6","38","5,9,13,23,30,35,37","5","9","13","23","30","35","37",,"","","mapped-not-extracted"
"46","爱心果","15","1","2130","50","24","20","111600","3","module/nc/crops/Crop_46.swf","8096","3ad2ced131499b21b740c204cd199c2dc27f294c75e2b27298d2741dcbbd20d8","27","2,8,13,19,21,24,26","2","8","13","19","21","24","26",,"","","mapped-not-extracted"
"72","榛子","15","1","1978","47","29","30","165600","3","module/nc/crops/Crop_72.swf","18685","3164fd2771ec5078d185bf89d931d9301a568ebee273da206468682201b4decd","41","2,4,14,30,33,38,40","2","4","14","30","33","38","40",,"","","mapped-not-extracted"
"23","石榴","16","1","2425","54","30","34","187200","3","module/nc/crops/Crop_23.swf","17768","dcd459687f9709298d8a32409cae5a50482362fcd941eb2ca603dace0718eda2","44","2,7,20,25,33,41,43","2","7","20","25","33","41","43",,"","","mapped-not-extracted"
"106","郁金香","16","1","2425","54","30","34","187200","3","module/nc/crops/Crop_106.swf","7039","d42c3ec885d320e6e8650f95e0af1990e25f71dc86e85b031315c6a222453970","21","2,5,9,14,16,18,20","2","5","9","14","16","18","20",,"","","mapped-not-extracted"
"26","柚子","17","1","2855","58","33","39","219600","3","module/nc/crops/Crop_26.swf","17722","b87d6e4df51a9637abf451f8f674eeacb44ad968317c6944cd40d8aa66adf563","23","2,4,9,12,17,20,22","2","4","9","12","17","20","22",,"","","mapped-not-extracted"
"50","蘑菇","17","1","2600","55","27","16","108000","3","module/nc/crops/Crop_50.swf","17462","082e15f9f6d499c42ab9383af155dd7aaa11c81c548d6cd121468b9b9f0bcf93","26","4,6,11,18,18,23,25","4","6","11","18","18","23","25",,"","","mapped-not-extracted"
"27","菠萝","18","1","3480","62","35","40","230400","3","module/nc/crops/Crop_27.swf","19336","7c59b7f2542f311e7178e08de963b41cfbaf23fecb305d6989dcbce69831a9db","19","2,4,6,10,13,16,18","2","4","6","10","13","16","18",,"","","mapped-not-extracted"
"102","马蹄莲","18","1","3480","62","35","40","230400","3","module/nc/crops/Crop_102.swf","18321","9f0b4300924750408a301cf88e7c318020d842f00b298e72b8d1c72b3561771b","15","2,4,6,8,10,12,14","2","4","6","8","10","12","14",,"","","mapped-not-extracted"
"29","椰子","19","1","3720","65","27","32","198000","4","module/nc/crops/Crop_29.swf","23909","ee3cece97dd34420e5cbd103b6179ad00ab28128b4e0678cef5261490fe5d8f1","17","2,4,6,10,12,14,16","2","4","6","10","12","14","16",,"","","mapped-not-extracted"
"49","花生","19","1","1200","38","25","25","151200","4","module/nc/crops/Crop_49.swf","16478","a4cda841f3b3f9cda9f8cfa65fdbbb933f6fc664b5dc4b12bc13a3c3eb5afb6f","32","2,6,10,16,21,29,31","2","6","10","16","21","29","31",,"","","mapped-not-extracted"
"69","莴笋","19","1","3720","65","27","32","198000","4","module/nc/crops/Crop_69.swf","9549","cda238df0ae7b6aebc5241ce6d479b55684096ef8c75a50a64c69b970c79916f","36","2,11,16,28,31,33,35","2","11","16","28","31","33","35",,"","","mapped-not-extracted"
"114","蓝玫瑰","19","1","1200","38","25","25","151200","4","module/nc/crops/Crop_114.swf","19865","40022f33821afd84bfe1c91854296daae8ac086f907d4f9a588832e8c4a23f96","64","2,4,16,23,32,61,63","2","4","16","23","32","61","63",,"","","mapped-not-extracted"
"31","葫芦","20","1","4742","71","30","36","219600","4","module/nc/crops/Crop_31.swf","18715","d45c3feecb5cd52823c21510dd1b1ffe5817b72b5425482fa9c01f63d041d537","33","2,5,12,22,27,30,32","2","5","12","22","27","30","32",,"","","mapped-not-extracted"
"45","猕猴桃","20","1","4700","75","27","27","165600","4","module/nc/crops/Crop_45.swf","21790","629636c7226d9b03b587cfd0e6429669a89b6e0a65ff29609e66bb2bccbf3f49","42","2,5,13,23,35,39,41","2","5","13","23","35","39","41",,"","","mapped-not-extracted"
"54","梨","20","1","1360","35","24","19","115200","4","module/nc/crops/Crop_54.swf","16048","afc94c92847ddb138dc14514de202806d06c2a35da4a7dc109255b40d2a038ee","28","7,10,16,19,22,25,27","7","10","16","19","22","25","27",,"","","mapped-not-extracted"
"101","薰衣草","20","1","4742","71","30","36","219600","3","module/nc/crops/Crop_101.swf","20758","6a67569fafc483ba6d6db33efa0d43daf9497b59bfb80447dac323fed848484e","34","2,5,10,13,16,31,33","2","5","10","13","16","31","33",,"","","mapped-not-extracted"
"33","火龙果","21","1","5356","77","32","41","252000","4","module/nc/crops/Crop_33.swf","10964","b40e26a027f5fc423f8ca19c9f801535c24285a234cd7be950cc85c429829002","21","2,4,6,13,16,18,20","2","4","6","13","16","18","20",,"","","mapped-not-extracted"
"55","枇杷","21","1","4800","77","27","25","151200","4","module/nc/crops/Crop_55.swf","16820","eb6f9fc633362196332681c0f5d2a410919e245d81a95b1800667818aa668982","53","2,4,16,26,40,50,52","2","4","16","26","40","50","52",,"","","mapped-not-extracted"
"107","仙人掌","21","1","1360","35","24","19","115200","4","module/nc/crops/Crop_107.swf","17906","25a57b4abef4536177c7ebc1d743f44b810be020587a04ab7c3d3d349b1f8387","22","2,7,10,12,15,19,21","2","7","10","12","15","19","21",,"","","mapped-not-extracted"
"34","樱桃","22","1","5527","78","33","42","259200","4","module/nc/crops/Crop_34.swf","21927","8b2b45ba47468be69315824c7f11737c7abe71290fb923365a4d19f43bfaa71d","19","2,4,6,8,12,16,18","2","4","6","8","12","16","18",,"","","mapped-not-extracted"
"108","铃兰","22","1","1360","35","24","19","115200","4","module/nc/crops/Crop_108.swf","7318","0f2807343f7d572bcea2782862066d5e56830c4e8d88b2a5f341987c16095dcc","34","2,4,9,13,17,31,33","2","4","9","13","17","31","33",,"","","mapped-not-extracted"
"35","荔枝","23","1","6588","86","34","44","277200","4","module/nc/crops/Crop_35.swf","16722","c8aabaa1c365ca0e72a45c80608c3e49409366981823a0000b4cbd31b847d527","46","2,5,11,19,30,43,45","2","5","11","19","30","43","45",,"","","mapped-not-extracted"
"38","木瓜","24","1","6590","80","28","26","165600","5","module/nc/crops/Crop_38.swf","10877","ef982d29acb7b1bac6fa9152831ea13e0d0d99db0569a02517f0d17948f44efb","23","2,7,9,12,17,20,22","2","7","9","12","17","20","22",,"","","mapped-not-extracted"
"53","桂圆","24","1","2300","38","27","18","111600","5","module/nc/crops/Crop_53.swf","15065","64b5591dd9dbcfb11c86e07d08046573a6997758d8cb4f2771895830865f5b28","45","4,6,13,17,27,42,44","4","6","13","17","27","42","44",,"","","mapped-not-extracted"
"39","杨桃","25","1","7000","82","29","27","165600","5","module/nc/crops/Crop_39.swf","20935","0b2161151a4afb0b447bdea12dcd5dc2e8d86d5bcc55ab1cfe6c8831932f9310","28","2,4,8,12,20,25,27","2","4","8","12","20","25","27",,"","","mapped-not-extracted"
"92","稀世琉璃果","25","1","7000","82","29","27","165600","4","module/nc/crops/Crop_92.swf","8249","1d413ee117475b56bdcf3e2db3b7ffc6ce6495687b3c59979907dadd318aa4c7","53","2,10,22,42,46,50,52","2","10","22","42","46","50","52",,"","","mapped-not-extracted"
"93","炫舞之星","25","1","2525","50","28","18","90000","4","module/nc/crops/Crop_93.swf","21346","227e15d1a808bfe9c925131ea0e1b30431e5a89e1922b70a6b68490f82e94894","25","2,4,6,8,13,22,24","2","4","6","8","13","22","24",,"","","mapped-not-extracted"
"94","海洋之心","25","1","7560","105","26","20","90000","4","module/nc/crops/Crop_94.swf","18551","f3ef14d3e546b4fc3a9b319b8a6432cb44d7a6580a8a4fa8dcc453c1f7d32c79","404","2,24,53,80,219,401,403","2","24","53","80","219","401","403",,"","","mapped-not-extracted"
"42","柠檬","26","1","6300","83","26","18","111600","5","module/nc/crops/Crop_42.swf","20698","0f16590ea823467cfd39fa8600997b59ce78c5b36fad7e6e1db71a77fe664a4b","58","2,4,17,38,50,55,57","2","4","17","38","50","55","57",,"","","mapped-not-extracted"
"57","芒果","26","1","2500","40","27","18","111600","5","module/nc/crops/Crop_57.swf","20432","c864c0000fe962f56da4eb8da86b04f6dcee90b68fa90da170d0007dd0ce1bfb","28","4,7,11,14,17,25,27","4","7","11","14","17","25","27",,"","","mapped-not-extracted"
"125","太阳花","26","1","6300","83","26","18","111600","5","module/nc/crops/Crop_125.swf","20402","59a8bd6ac41e8f9597c98cd386e4bbdd7091ab4edc75a7ac98b57456901038c5","51","2,7,16,23,36,48,50","2","7","16","23","36","48","50",,"","","mapped-not-extracted"
"48","杨梅","27","1","6600","84","27","18","111600","5","module/nc/crops/Crop_48.swf","14437","9239200f5c094c161dbb489bd2ea1f0415791dd3d39d71adba116c7c346a6137","31","2,4,16,20,27,28,30","2","4","16","20","27","28","30",,"","","mapped-not-extracted"
"58","榴莲","27","1","2600","41","27","18","111600","5","module/nc/crops/Crop_58.swf","19214","460941f81845d720a57b8d4a72e2e07eb5e5b6670b37ecf428358fd93258e752","26","2,6,9,12,16,23,25","2","6","9","12","16","23","25",,"","","mapped-not-extracted"
"56","哈密瓜","28","1","2873","42","28","18","111600","3","module/nc/crops/Crop_56.swf","13375","e7968f7772a27c222e3fc0c8747fb0ed8891843fcdf32f2f40fba550faf23b4d","27","2,4,12,16,20,24,26","2","4","12","16","20","24","26",,"","","mapped-not-extracted"
"79","番石榴","28","1","2873","42","28","18","111600","5","module/nc/crops/Crop_79.swf","22586","7478abd5751b18155ffe818c8e3e21dbcf22f0d49a5630c535684f3c783f56e4","21","6,9,11,13,16,18,20","6","9","11","13","16","18","20",,"","","mapped-not-extracted"
"75","桑葚","29","1","2976","43","28","18","111600","5","module/nc/crops/Crop_75.swf","12360","2e19fc49c914f601f23d50b97f5e414c4b6f5289c85c1c2bfbd524f6e460d3f3","42","2,11,16,20,24,39,41","2","11","16","20","24","39","41",,"","","mapped-not-extracted"
"77","蓝莓","29","1","2976","43","28","18","111600","5","module/nc/crops/Crop_77.swf","15181","6d563de35c9abf8f4366cbc6e139ede0074165d668a864c09307d88484d88b0c","34","3,10,15,21,26,31,33","3","10","15","21","26","31","33",,"","","mapped-not-extracted"
"76","山竹","30","1","3110","44","28","18","111600","5","module/nc/crops/Crop_76.swf","21197","787e879218ee2d82d6c2974e3985a00bef7a67469a37ffe6f0f85e9bcdc79f1f","21","6,8,10,12,15,18,20","6","8","10","12","15","18","20",,"","","mapped-not-extracted"
"80","月柿","30","1","3110","44","28","18","111600","5","module/nc/crops/Crop_80.swf","13571","0e05496cf42faf386eca6ee2fe16e7d6e6ba325723ca00112cc68cc53175fc07","35","2,4,15,22,28,32,34","2","4","15","22","28","32","34",,"","","mapped-not-extracted"
"63","苦瓜","31","1","3210","45","28","18","111600","5","module/nc/crops/Crop_63.swf","10504","328c081d95207e30c5ce959e6b1991dc5c5579896e0e5f70cbfef714a1c18ba5","41","2,8,18,25,31,38,40","2","8","18","25","31","38","40",,"","","mapped-not-extracted"
"68","冬瓜","32","1","3300","46","28","18","111600","5","module/nc/crops/Crop_68.swf","17898","ba10a632ada1f18c8ab4d2382be4bb82d2223a8234162d3b5ddbd5b5ab2df22e","45","2,7,17,26,34,42,44","2","7","17","26","34","42","44",,"","","mapped-not-extracted"
"78","杏子","33","1","3376","45","29","18","111600","5","module/nc/crops/Crop_78.swf","12790","b4aafd1db3b220b989db660cf81a4bfcb19aca2387eaedfa7f5aa48b3967c0cd","21","3,6,10,14,15,18,20","3","6","10","14","15","18","20",,"","","mapped-not-extracted"
"74","金桔","34","1","3470","46","29","18","111600","5","module/nc/crops/Crop_74.swf","24545","01cc15daa104925641d66b84f707817b2f457bc73a7e1f9f277ff05f135855ae","25","10,12,15,18,21,22,24","10","12","15","18","21","22","24",,"","","mapped-not-extracted"
"83","红毛丹","35","1","3520","47","30","19","118800","5","module/nc/crops/Crop_83.swf","16098","e5c015f6678f5ba5ded348a74a7362ce69432c4df573a3454a6f87a7cb6c1087","41","4,7,12,14,18,38,40","4","7","12","14","18","38","40",,"","","mapped-not-extracted"
"84","芭蕉","36","1","3630","48","28","16","104400","5","module/nc/crops/Crop_84.swf","21563","07ae8acbc381a3b52a77ae2fb185a2973badffe26cd56707dce36b7c4da47374","72","9,15,21,49,64,69,71","9","15","21","49","64","69","71",,"","","mapped-not-extracted"
"85","番荔枝","37","1","3840","49","26","16","111600","6","module/nc/crops/Crop_85.swf","21438","f813e973c36bd172ffa929907322b0062da1e97e600bf7dbfe738821b8afcaa4","30","7,15,16,17,23,27,29","7","15","16","17","23","27","29",,"","","mapped-not-extracted"
"86","橄榄","38","1","3840","50","26","16","108000","6","module/nc/crops/Crop_86.swf","20267","f079ac8336688a43c529d0345400ab979c8202d7b830f05ec8745b24dd7cca7f","50","3,5,18,25,38,47,49","3","5","18","25","38","47","49",,"","","mapped-not-extracted"
"87","百香果","39","1","4130","50","26","15","108000","6","module/nc/crops/Crop_87.swf","19309","fc7fa3e396e960b7226b86742970f16cc47396a95f68d427ccfb20fe43ff625b","85","10,16,19,40,60,82,84","10","16","19","40","60","82","84",,"","","mapped-not-extracted"
