"source_id","name","set_name","item_type","item_type_name","extraction_policy","integration_policy","selected_source_kind","source_origin_file","source_origin_sha256","source_export_file","source_export_sha256","width","height","visible_pixels","visible_x","visible_y","visible_width","visible_height","swf_display_rect","swf_content_outline_rect","preview_file","preview_sha256","thumbnail_file","thumbnail_sha256","known_issue","automated_status","visual_review_status"
"23","春天围墙","春天的故事","3","fence","extract-swf","default","swf-content-frame","module/nc/farm/diy/23.swf","e5108eccbe75f8666db8da65299ccbc754a1e02d2c7362d51ab8389aad5be997","content-frame/23.swf.png","6a0680db6bcec5a7d7266e5c528b61c6defda30b79377e11365cf8597ebc723d","565","231","13290","1","1","563","229","0,0,2000,2000","0.228515625,39.654296875,11240.492813201721,4569.80712890625","module/nc/farm/diy/23.jpg","f9c9a1b6eda5d2f99ee1aa27d53099903a9e3309dcd0c0718ab07dfe36ba7822","module/nc/farm/diy/23b.jpg","744aa94db130f622305f4b52c37e3f718d872deff71f9e1431f8fa065ee9e38b","","ready-for-visual-review","reviewed-ok"
"24","春天狗窝","春天的故事","4","doghouse","extract-swf","default","swf-content-frame","module/nc/farm/diy/24.swf","a50d75f17f9d5fa96d833dc6f7faebafaeb43e4594317dbd110789aac66fe761","content-frame/24.swf.png","8a83a04293b3f23e1920b1fc580d7d395e5ff64976fd1b442bd47d87b2691a07","80","74","3932","1","1","74","72","0,0,2000,2000","-72.22680412371133,-909.0,1543.7731958762888,1437.8054054054055","module/nc/farm/diy/24.jpg","143feb0d37fd1b941813ecdc86e771fdfda26baa28a8455a2838a07837bf0673","module/nc/farm/diy/24b.jpg","faedcac81b23a81a63f8d19ce5ac244f78bec1c58f8c398fb5e382b92eebb3a0","","ready-for-visual-review","reviewed-ok"
"26","新年快乐","新年快乐","1","background","use-full-image","default","full-image","module/nc/farm/diy/26f.jpg","f755c8175d1f052a1c7cdc67dfcb1d98103a4ef3283e28943c294a48f475ca7f","module/nc/farm/diy/26f.jpg","f755c8175d1f052a1c7cdc67dfcb1d98103a4ef3283e28943c294a48f475ca7f","1034","806","833404","0","0","1034","806","","","module/nc/farm/diy/26.jpg","234639f7c09f1c96b03a54154f1db821c4135488d966a86caae39524ba071926","module/nc/farm/diy/26b.jpg","1f0f4a2c0d57f64977aef8b0101845a642cf83e89e78630da2455a6c95279207","","ready-for-visual-review","reviewed-ok"
"27","新年小屋","新年快乐","2","house","extract-swf","default","swf-content-frame","module/nc/farm/diy/27.swf","fb4277e0b6feba77d70b47294a065c73014af294ff3df0bfe1ab7f0e7bbbe0f8","content-frame/27.swf.png","ec9258559f032707c05c59b41a58cbb4170c85a8ea7fc2b07475ebad3a732096","166","167","19113","0","0","164","166","0,0,2000,2000","-420.2773742675781,-2439.609375,3261.6490831877054,3290.9381905781856","module/nc/farm/diy/27.jpg","403aee3e3d9e231b6cd8c8b31e0af24234fb2ec409863195658b83c48afa7c6b","module/nc/farm/diy/27b.jpg","db92f9db598e1af71f04183b0fac001e0e318de0568311e54217b2a2f66bd380","","ready-for-visual-review","reviewed-ok"
"28","新年围墙","新年快乐","3","fence","extract-swf","default","swf-content-frame","module/nc/farm/diy/28.swf","bda90104c030b6ef15dd84d2a9a36aee353e786a58bf19e961b6b5a3e7d3c074","content-frame/28.swf.png","51cd384b1084e607f42c7de2d2e5b4a3398a1823d77567b23a6fa3ebeb599c61","571","231","11168","0","0","571","230","0,0,2000,2000","-0.5203976999036968,-190.4934844970703,11376.084148920607,4575.72472365359","module/nc/farm/diy/28.jpg","2af98b14dbc597ee1c55513f743b2e2d1417361181d7890fdc468c9423758658","module/nc/farm/diy/28b.jpg","9e5c51bca4cf8d60bf928e28e4217bb1f479c10e6993e8d580cef5e6525cbade","","ready-for-visual-review","reviewed-ok"
"29","新年狗窝","新年快乐","4","doghouse","extract-swf","default","swf-content-frame","module/nc/farm/diy/29.swf","165800e580ef680c2f9f00d74e27f6e1909063a6d091c2a3a32d97900ec6eac3","content-frame/29.swf.png","17bcad65f78c331f40a9b0256e2643b5a884db5e9cbc4b786452d6ec10b76cbb","80","75","4123","1","0","74","73","0,0,2000,2000","-22.22604810577078,-810.0395060221354,1543.820308095401,1440.8063490859022","module/nc/farm/diy/29.jpg","faeafe3b892a8d94b83b8d73a5d5486f86e50a61b2296ec1065dc58a604eb284","module/nc/farm/diy/29b.jpg","88b1e09d4ed314694083480f361d76b97c4e21174282b6fcd1ab7f4e21c3f8c9","","ready-for-visual-review","reviewed-ok"
"31","夏日海滩","夏日海滩","1","background","use-full-image","default","full-image","module/nc/farm/diy/31f.jpg","3b4da348e2966c040ba4e4a23abf217d2153612f1f08d9726a7d807d20c01d04","module/nc/farm/diy/31f.jpg","3b4da348e2966c040ba4e4a23abf217d2153612f1f08d9726a7d807d20c01d04","1024","768","786432","0","0","1024","768","","","module/nc/farm/diy/31.jpg","d7221baee454cf723756107601fc3d9dbeeca5fd654468a530dcf5ce59f69fe8","module/nc/farm/diy/31b.jpg","f85db4fa4dc6f57f1a1c4240b3e22a7a4c5c7c9c0432173e4428239c7819926a","","ready-for-visual-review","reviewed-ok"
"32","海滩别墅","夏日海滩","2","house","extract-swf","default","swf-content-frame","module/nc/farm/diy/32.swf","752001996ca643306b5a1a465f697eed6f1ad98816d6addbf6b5485c6c4815a2","content-frame/32.swf.png","2cd0c8c745fe762290124e29f74b9459cad3386db0af264a19d3b285db5c0f6e","219","190","28881","1","1","216","187","0,0,2000,2000","-749.8946620734163,-2259.8233032226562,4337.651713844066,3747.9876857127956","module/nc/farm/diy/32.jpg","cfd38683ed49964ce8fd4be399e3137e6973ca0801d430da2495c92e72747f92","module/nc/farm/diy/32b.jpg","5e3edb7da134ce3c6b40fad34277e15a55f906988ed96b0242537002800bf048","","ready-for-visual-review","reviewed-ok"
"33","海滩栅栏","夏日海滩","3","fence","extract-swf","default","swf-content-frame","module/nc/farm/diy/33.swf","b623d8943c9314ba1708f82473330ade8153cdf1acbdd4c6743f83b00efabd7a","content-frame/33.swf.png","570a2761dbb229326c8d071a5bd961121d404909f3b4e7d1102b804d6cfaeca5","542","253","10674","1","1","539","244","0,0,2000,2000","0.537109375,-200.5354766845703,10787.462890625,5005.66047668457","module/nc/farm/diy/33.jpg","15107688a7b453811cb28b93e9fbeb7436a8736dc0abb503c0ce9a96e48cab2b","module/nc/farm/diy/33b.jpg","a0f873b904cc172971a0c0d91805854c4678203dd704e3a2beee21273326736e","","ready-for-visual-review","reviewed-ok"
"34","海滩狗窝","夏日海滩","4","doghouse","extract-swf","default","swf-content-frame","module/nc/farm/diy/34.swf","7356668b64f13c4c19be380a5f0b219cccb852658b5904da91ef072b73930fae","content-frame/34.swf.png","9ae3aae96826b1554330dbb59f1714a2d3b0fce24480efd3bf385cc20c92e64b","79","69","3023","1","1","75","67","0,0,2000,2000","-121.0,-880.0,1521.0,1333.0","module/nc/farm/diy/34.jpg","a8681996164b74ae707d988909db26ca31c50a08185598e0ac46ccd04600a8fd","module/nc/farm/diy/34b.jpg","912f1c6761167d8f7d0179bdf926942cb3acaa75e5ae0e1244ce3f514669c3c5","","ready-for-visual-review","reviewed-ok"
"41","浓情原野","青春草原套装","1","background","extract-swf","default","swf-stage-frame","module/nc/farm/diy/41.swf","4be2c861d65b42979a4bcec0a0588809f79c1f3a5b28c3117f1b55674e5e4467","stage-frame/41.swf/1.png","62cea92f2fe4d4e136b564a1d6d3041b66deb30c62ebaa7ea3a12eee087515cd","1024","768","786432","0","0","1024","768","0,0,20480,15360","0.0,0.0,20480.0,15360.0","module/nc/farm/diy/41.jpg","1c2668f9bc51aef187bd85e38289ae63a8a0a5e073f631748b74d8f875617feb","module/nc/farm/diy/41b.jpg","ca7c01ae2e516c73f9c0f3bc0faa0935f7bdf190942b33d41bc2379ea6219f4d","","ready-for-visual-review","reviewed-ok"
"42","温情蒙古包","青春草原套装","2","house","extract-swf","default","swf-content-frame","module/nc/farm/diy/42.swf","ea98545bbf05dfc541c23999bac7529094a5cfa053ec5ddd35058a787b767066","content-frame/42.swf.png","879f13c2b5fe3a54d2dc047e4c24ddc053732e52f2b53a7c2463d20bc50395b2","222","207","25331","1","1","219","205","0,0,11000,8000","-482.0,-2328.5377358490564,4383.62962962963,4095.5377358490564","module/nc/farm/diy/42.jpg","1b7b4a85d00c77c3a4091c0e9ac2dc623afa1bfd8464935957d107d4b8010826","module/nc/farm/diy/42b.jpg","602746b73753af4f3422526f473ddd22e601b9689d31fcc26b7a598af2a2e30e","","ready-for-visual-review","reviewed-ok"
"43","怡情围毡","青春草原套装","3","fence","extract-swf","default","swf-content-frame","module/nc/farm/diy/43.swf","8012b805f7a3bc0f988a3b4ab185f8450f9b9e60e621c6c5c89894970027db65","content-frame/43.swf.png","86db933d322de6d10984e95ed527cbedd77df4ca05d271f4438d744caa97553e","554","257","9968","1","1","551","254","0,0,11000,8000","65.29034423828125,-174.2936248779297,11028.709655761719,5081.29362487793","module/nc/farm/diy/43.jpg","94de1f0990bc54a7307eb84250ad1acd8bf5e2adba6cba7293c4609292170603","module/nc/farm/diy/43b.jpg","f24748ab5c273d016732a35d667c236f02d26aa588094d5fc7154dd63d2d2be3","","ready-for-visual-review","reviewed-ok"
"44","风情獒窝","青春草原套装","4","doghouse","extract-swf","default","swf-content-frame","module/nc/farm/diy/44.swf","831f76bc6d24a4f9ba668de05cae0308507c7944a14d6a828d93255a87457f0d","content-frame/44.swf.png","a74ceeb5fba626ae80571909840c4c8da1a25eb5aaed42764ce5abb7195af467","84","71","3797","1","1","81","68","0,0,11000,8000","15.0,-1022.2272727272727,1632.5,1359.4343733189887","module/nc/farm/diy/44.jpg","7e7d431f112c68c2a1096043296e5d5364d90f1af6fcf81aa4d7a0f95dc75975","module/nc/farm/diy/44b.jpg","3bdb4fe429905868d9374f174b4bd3f58b6a61737d2dade454fbd5b7b2cfac5c","","ready-for-visual-review","reviewed-ok"
"45","魔幻乐园背景","魔幻乐园套装","1","background","extract-swf","default","swf-stage-frame","module/nc/farm/diy/45.swf","94f84057eb53693390fe7b6f664c4e2ff75bad3d9b3f345d3ffea9e00884bec8","stage-frame/45.swf/1.png","6722efc6afbd4f9441f3c68388d498f31e15e450915ad65904bc0879712bbf3b","1024","768","786432","0","0","1024","768","0,0,20480,15360","-390.0,-582.9688568115234,20939.0,18898.721130371094","module/nc/farm/diy/45.jpg","30d89ca65a7813859aaff7a04e9a2f94b5be69244a3bdf23bf41f58bb77f7db1","module/nc/farm/diy/45b.jpg","85b90b2c56267e4b96abc8069a968e905585d745f4c0531cd33585b4d5cf36aa","","ready-for-visual-review","reviewed-ok"
"46","蘑菇小屋","魔幻乐园套装","2","house","extract-swf","default","swf-content-frame","module/nc/farm/diy/46.swf","bd58df22a17d1f3ccf7b2b621a58c498384c99443ea2a62cbd78a910a8112f78","content-frame/46.swf.png","92244ab5bf21ed6acdf0e91c7ac0f1e04caff911364e1d8a0a63f2f2baac9d8f","270","143","26298","1","1","268","141","0,0,11000,8000","-1034.0,-1452.455782312925,5356.775280898876,2812.4557823129253","module/nc/farm/diy/46.jpg","194d9552c93b66f3e45aeb936e92acbdcc810f38a8a97a34047912e35b248606","module/nc/farm/diy/46b.jpg","28d491440d72291dd8c6f11809215ce7919a0cce2df339146bb5aa686694c17c","","ready-for-visual-review","reviewed-ok"
"47","迷幻栅栏","魔幻乐园套装","3","fence","extract-swf","default","swf-content-frame","module/nc/farm/diy/47.swf","5ee4371ba9c68dc5cf10a464ba43e3fdadd51a35597051a10d38953b43d68bf5","content-frame/47.swf.png","42e8935f266d57abec471468d18d2f665112e2e06b160d411d5e96e80a315ab9","561","231","6715","1","1","559","229","0,0,11000,8000","-1035.0,-121.0,11178.0,4574.0","module/nc/farm/diy/47.jpg","0372de1c9a5a93572a56a531848840197f807d49003b75c0912465902683a866","module/nc/farm/diy/47b.jpg","d42eaa956f3a7046d795994b3ad8ca8f2a322d86da5e8c0b710bb4ade3fc27ea","","ready-for-visual-review","reviewed-ok"
"48","迷你狗窝","魔幻乐园套装","4","doghouse","extract-swf","default","swf-content-frame","module/nc/farm/diy/48.swf","e1ef8161e379439ea6174f11ff0bf3bb3ad4aaee8ef7a94a7e1d57f64f876372","content-frame/48.swf.png","b737213516640e8262204768639dbf7194a0449900ba421764463bbe8840cb7f","54","43","1699","1","1","52","41","0,0,11000,8000","300.1373134328358,-532.0,1034.537385362345,806.0","module/nc/farm/diy/48.jpg","ec55ba17b4ce893188a779e8396618b5ab938d6c010cc5469b34f699650975ef","module/nc/farm/diy/48b.jpg","5979b7f4cda6220055d481da351fd70d17a1cc0e8629e6ec161649086bb0c50d","","ready-for-visual-review","reviewed-ok"
"49","欧洲田园风光","欧洲田园风光","1","background","extract-swf","default","swf-stage-frame","module/nc/farm/diy/49.swf","39e91fe44438dbbac72d89f1be80d36bb0cf68102ef934d77d85f1c052e06364","stage-frame/49.swf/1.png","d369afab3a44909e723f5f2a9b66509de7b4436ff3d5368171752cb5506ec8b5","1036","803","830303","0","0","1036","802","0,0,20720,16060","-771.5317821297795,-57.712400359302904,23073.469320939854,16759.860648484482","module/nc/farm/diy/49.jpg","4d470e4650c3d69e55617ef161719a0580e52465cc29ce162da8faa20c072976","module/nc/farm/diy/49b.jpg","cadaf6c48a19d40eb8e0ff9d2ea12a1661b4abe36f9c31fa8960abe7068978e2","","ready-for-visual-review","reviewed-ok"
"50","欧式简装别墅","欧洲田园风光","2","house","extract-swf","default","swf-content-frame","module/nc/farm/diy/50.swf","90200948d38c8bca95a3a4ec272a21f74b555ad73abb4c0906d9fd6de9c031d2","content-frame/50.swf.png","a73d0c52deba2991435dcb236d140e6c09f0369b13a73a5774f4fecf831aaf57","274","198","28665","1","1","272","196","0,0,20720,16060","-1042.0,-2407.0,5431.0,3909.0","module/nc/farm/diy/50.jpg","a8835aa6f1d8c13d193180d5a6892d8f3989230c3f5fbd128b7bb3731d80d877","module/nc/farm/diy/50b.jpg","a670c21a6581020493d02fa2671a0297deaeffc5897fb6fbe6f4b6aad92cd85d","","ready-for-visual-review","reviewed-ok"
"51","欧式栅栏","欧洲田园风光","3","fence","extract-swf","default","swf-content-frame","module/nc/farm/diy/51.swf","68df2815148ed566f7e2a30bc11d5dc8625a6ce1f5182232f75e92bba7478643","content-frame/51.swf.png","7a4f2fc909b2a0344244269b2b15b968df98bbcdb5d3cdbbee0fb547d4d5c2bf","1064","698","33298","1","1","1062","696","0,0,20720,16060","-7840.475204467773,364.2729034423828,21233.441250155895,13908.480758666992","module/nc/farm/diy/51.jpg","92174b91c632011f1a6e9f10adf185ebfe58db0d4fa472a96b5c60227ecd7668","module/nc/farm/diy/51b.jpg","619904dea1e6a5d6521063cab452ccfcbdc689528b1b119c4ce464baa4010100","","ready-for-visual-review","reviewed-ok"
"52","欧洲风情小狗窝","欧洲田园风光","4","doghouse","extract-swf","default","swf-content-frame","module/nc/farm/diy/52.swf","a693a058957ec422c61b97f07f396b7417aef8f82db00f448436c57d9bcc79c2","content-frame/52.swf.png","4c5834ae2a1f7e3823bdb54dbf1bc66a35436e1666f598ffa9b2c88df32cc3bb","67","68","3130","2","1","64","66","0,0,20720,16060","-258.0,-996.0,1300.0,1310.0","module/nc/farm/diy/52.jpg","5e451eb3ebd64e3e5dbd4dd7f8ff8587f799fc7f978f254bea7e15d41daec30c","module/nc/farm/diy/52b.jpg","244984ec622e00362e52a1487c23919afd958d47b7ad5f16df1c309a1596d1de","","ready-for-visual-review","reviewed-ok"
"53","阿尔卑斯山风光","阿尔卑斯山风光","1","background","extract-swf","default","swf-stage-frame","module/nc/farm/diy/53.swf","2d440164b3d31791ca74744349a31a9578f9471a91957db6fa948b82a0091266","stage-frame/53.swf/1.png","ee7f3eb10f280fce4b84fae4cf32d2ecf5b4f3a1a7492715f185034e8c9cf99b","1036","803","826592","0","0","1036","803","0,0,20720,16060","-4165.0,-4166.0,29162.0,23875.0","module/nc/farm/diy/53.jpg","262a36efced2a69f5161de27eafd7e545083595a13382cd9dfd1e7d2be14d96b","module/nc/farm/diy/53b.jpg","7df7cf0362cec9a0a7abbd2ad684a630b07de4e28537a5553351c11e496629aa","","ready-for-visual-review","reviewed-ok"
"54","山脚下小屋","阿尔卑斯山风光","2","house","extract-swf","deferred-validation","swf-content-frame","module/nc/farm/diy/54.swf","649f24e05242aaede287c55c547ea89e80687de0429b53d4aa2e0343660fcd56","content-frame/54.swf.png","279a6187d780344a448469dd5ce785437e0a7e302a48ac5406294bf5878817ee","240","212","28590","1","1","238","210","0,0,2800,4520","-839.0,-1988.0,4760.0,4192.0","module/nc/farm/diy/54.jpg","b6016f79f32805e7844248b09a9cf66be24b841168299c86bdf09e36d8d48a6f","module/nc/farm/diy/54b.jpg","edfe9006a89d52c2aee27242bfc1c1022b0f0be2bae4df85492a5c9bf02dcc19","","ready-for-visual-review","reviewed-with-note"
"55","阿尔卑斯特产栅栏","阿尔卑斯山风光","3","fence","extract-swf","default","swf-content-frame","module/nc/farm/diy/55.swf","2e07ef15574f54a60657bc0182071da3035f5a465d9318a4a5bc2f9e59f17ce4","content-frame/55.swf.png","b5d8b6dc398501966a967733aaa06f30d82571b1b65d53240b511fee5583d820","383","394","39209","1","1","381","392","0,0,2800,4520","1503.0,-3946.929909172742,7607.374618530273,7839.047829094618","module/nc/farm/diy/55.jpg","cd89fb4d690eadf4a53525d37222fedfb30c83f2036d307b1c6c2891988b586e","module/nc/farm/diy/55b.jpg","a44fea2abfe1e7a16ac17de57f47e5f801bdc96784bb0ad0f3eaddd0b4bc704e","","ready-for-visual-review","reviewed-ok"
"56","阿尔卑斯特产狗屋","阿尔卑斯山风光","4","doghouse","extract-swf","default","swf-content-frame","module/nc/farm/diy/56.swf","c23582858a68a5793e6657e6be7691bd70aaa5239074c382e7535951cbea5292","content-frame/56.swf.png","de4d3f274b6332c4766687628610ff16c73148a7391f308aa25c6ebb6ec37bbf","85","90","4175","1","1","81","87","0,0,2800,4520","199.0,-1157.0,1648.0,1741.0","module/nc/farm/diy/56.jpg","2af9427c481ac5dba76e1d06784e2f09547a6e98d4a576cc268e6461015b14d3","module/nc/farm/diy/56b.jpg","92dc5e34c2d99de42699dfe00406049e6235f5b26d9f9030cd1422d310f32361","","ready-for-visual-review","reviewed-ok"
"57","地中海风情","地中海套装","1","background","extract-swf","default","swf-stage-frame","module/nc/farm/diy/57.swf","571723b662dc1c8162d6c39eb2d9e870ea338bb091ace41916cfaff48b8a91d2","stage-frame/57.swf/1.png","8db71af4e5ac8f65e18b5dfb94b1b385844521077e1cb21061f427e8eadb1fb3","1024","768","786432","0","0","1024","768","0,0,20480,15360","0.0,0.0,20480.0,15360.0","module/nc/farm/diy/57.jpg","e4d2aa5e32dab4d09ec0523065b2ec8e7c05ca646a751fca4789c3bd18f17232","module/nc/farm/diy/57b.jpg","a70194b943ca8a26ecc98da10cf1f64bdc6d9d3175e895c098dd2fe72f9cc56d","","ready-for-visual-review","reviewed-ok"
"58","迷情蓝堡","地中海套装","2","house","extract-swf","default","swf-content-frame","module/nc/farm/diy/58.swf","9fafad7400c59dd1f3b734db618dfb08c03f960795451d389ae8f161d5bf7d1a","content-frame/58.swf.png","28375cb5bf5b03566d4a5201d8d08baf66f9eb6a02e092f0f925aae5df8723f0","216","238","33729","0","0","215","237","0,0,11000,8000","340.54347229003906,-2375.754284733942,4260.508651733398,4711.898717193248","module/nc/farm/diy/58.jpg","1b0c0c3bdc883b4f57929c936bf764e88aecdc625106f36bb18c9c64339a10e0","module/nc/farm/diy/58b.jpg","2e04990439e108b9d04e240f4a7b6c9a41d25105ba13d53d4b83d37f6e21c2d3","","ready-for-visual-review","reviewed-ok"
"59","白沙围廊","地中海套装","3","fence","extract-swf","default","swf-content-frame","module/nc/farm/diy/59.swf","8e5ca05291de84a036736799781e9d94f2be805a2184a807a11998d19ffeaeef","content-frame/59.swf.png","74336645e9d077f22d769210dea7801f671e56a907525798f6d97ab4ce63ce0c","560","225","12948","1","1","558","223","0,0,4000,4000","26.22052001953125,65.89230404260023,11141.908447265625,4451.587342532985","module/nc/farm/diy/59.jpg","caee4bf7b3679401ae88c5a686f60c3096612d771ec87bca01d10d49efe9d7b2","module/nc/farm/diy/59b.jpg","39502fe63aeb6a54245ea40df0aa76abc102f81b59edaeaae5173a5c3b91ea6b","","ready-for-visual-review","reviewed-ok"
